arm,run,n_votes,cost,fnr,fpr,threshold,degenerate,app_trained,n_rows
caltech101_m/siglip/whole_image,safe_on,83,0.04323141666666667,0.0,0.04323141666666667,0.3755041666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,84,0.008333333333333333,0.0,0.008333333333333333,0.42828008333333334,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,84,0.03569791666666667,0.0,0.03569791666666667,0.37807383333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,85,0.009552833333333333,0.0,0.009552833333333333,0.42790533333333336,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,85,0.03815366666666666,0.0,0.03815366666666666,0.3767895833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,86,0.009756083333333334,0.0,0.009756083333333334,0.42775,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,86,0.03815833333333333,0.0,0.03815833333333333,0.3768140833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,87,0.009959333333333332,0.0,0.009959333333333332,0.42755816666666663,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,87,0.03795908333333333,0.0,0.03795908333333333,0.37798516666666665,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,88,0.010162583333333334,0.0,0.010162583333333334,0.4271529166666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,88,0.039794916666666666,0.0,0.039794916666666666,0.3758433333333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,89,0.0103725,0.0,0.0103725,0.426981,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,89,0.04103175,0.0,0.04103175,0.3750754166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,90,0.0103725,0.0,0.0103725,0.4268321666666666,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,90,0.0432805,0.0,0.0432805,0.3741535833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,91,0.010982249999999999,0.0,0.010982249999999999,0.42646591666666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,91,0.04634783333333333,0.0,0.04634783333333333,0.3734780833333333,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,92,0.010982249999999999,0.0,0.010982249999999999,0.4262789166666667,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_on,92,0.045322499999999995,0.0,0.045322499999999995,0.37340341666666665,0.0,1.0,12
caltech101_m/siglip/whole_image,safe_off,93,0.012201749999999999,0.0,0.012201749999999999,0.42593375,0.0,1.0,12
