budget,metric,arm,ref,n,ref_mean,arm_mean,delta,se,wilcoxon_p
50,average_precision,gp_rbf_blend_maxvar,app,30,1.0,1.0,0.0,0.0,
100,cost,app_xcal,app,30,0.05770756666666667,0.005005566666666667,-0.052702,0.016212951839200344,0.010746783005343858
100,cost,gp_rbf,app,30,0.05770756666666667,0.1175664,0.05985883333333334,0.05845646353729883,0.9547075542182767
100,cost,gp_rbf_rank,app,30,0.05770756666666667,0.5840292333333335,0.5263216666666667,0.045789731425095466,1.726772765612998e-06
100,cost,gp_rbf_blend,app,30,0.05770756666666667,0.0022765,-0.05543106666666666,0.016425049638787347,0.029873144019229032
100,cost,gp_dot_blend,app,30,0.05770756666666667,0.009297633333333333,-0.04840993333333333,0.016534069989447207,0.09892320515700175
100,cost,gp_rbf_blend_straddle,app,30,0.05770756666666667,0.0074074,-0.05030016666666667,0.01694147181470569,0.006039559048656822
100,cost,gp_rbf_blend_maxvar,app,30,0.05770756666666667,0.014130100000000001,-0.04357746666666666,0.016384654154921865,0.013103614110038467
100,fnr,app_xcal,app,30,0.0,0.0037037,0.0037037,0.0037037000000000003,0.31731050786291415
100,fnr,gp_rbf,app,30,0.0,0.0,0.0,0.0,
100,fnr,gp_rbf_rank,app,30,0.0,0.5836207333333333,0.5836207333333333,0.04954818741618841,2.5066483481826545e-06
100,fnr,gp_rbf_blend,app,30,0.0,0.0,0.0,0.0,
100,fnr,gp_dot_blend,app,30,0.0,0.0,0.0,0.0,
100,fnr,gp_rbf_blend_straddle,app,30,0.0,0.0074074,0.0074074,0.007407400000000001,0.31731050786291415
100,fnr,gp_rbf_blend_maxvar,app,30,0.0,0.014130100000000001,0.014130100000000001,0.008792709292343015,0.10880943004054568
100,average_precision,app_xcal,app,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf,app,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf_rank,app,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf_blend,app,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_dot_blend,app,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf_blend_straddle,app,30,1.0,1.0,0.0,0.0,
100,average_precision,gp_rbf_blend_maxvar,app,30,1.0,1.0,0.0,0.0,
150,cost,app_xcal,app,30,0.1022817,0.0026158333333333333,-0.09966586666666667,0.028883507953988606,0.023095732617466558
150,cost,gp_rbf,app,30,0.1022817,0.004135499999999999,-0.0981462,0.028256823526338213,0.003688569677208209
150,cost,gp_rbf_rank,app,30,0.1022817,0.5387016,0.43641989999999997,0.052356989597287386,1.7300371292901245e-06
150,cost,gp_rbf_blend,app,30,0.1022817,0.05689503333333333,-0.04538666666666667,0.030267287625510213,0.1208386531141816
150,cost,gp_dot_blend,app,30,0.1022817,0.055549733333333344,-0.04673196666666666,0.02895988300368836,0.1589900610113243
150,cost,gp_rbf_blend_straddle,app,30,0.1022817,0.012169300000000001,-0.0901124,0.026970089957512603,0.0014688499662158375
150,cost,gp_rbf_blend_maxvar,app,30,0.1022817,0.012169300000000001,-0.0901124,0.026970089957512603,0.0014688499662158375
150,fnr,app_xcal,app,30,0.0,0.0,0.0,0.0,
150,fnr,gp_rbf,app,30,0.0,0.0037037,0.0037037,0.0037037000000000003,0.31731050786291415
150,fnr,gp_rbf_rank,app,30,0.0,0.5362725666666666,0.5362725666666666,0.05837183944137265,8.194321201616957e-06
150,fnr,gp_rbf_blend,app,30,0.0,0.05681333333333334,0.05681333333333334,0.01894802329849492,0.007632441648205508
150,fnr,gp_dot_blend,app,30,0.0,0.055549733333333344,0.055549733333333344,0.015662302402561126,0.003283460986069043
150,fnr,gp_rbf_blend_straddle,app,30,0.0,0.012169300000000001,0.012169300000000001,0.008666754013151794,0.17971249487899976
150,fnr,gp_rbf_blend_maxvar,app,30,0.0,0.012169300000000001,0.012169300000000001,0.008666754013151794,0.17971249487899976
150,average_precision,app_xcal,app,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf,app,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf_rank,app,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf_blend,app,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_dot_blend,app,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf_blend_straddle,app,30,1.0,1.0,0.0,0.0,
150,average_precision,gp_rbf_blend_maxvar,app,30,1.0,1.0,0.0,0.0,
AULC,aulc_cost,app_xcal,app,30,0.058633213519813515,0.006496681818181818,-0.052136531701631704,0.014461204254890444,0.00011058151721954346
AULC,aulc_cost,gp_rbf,app,30,0.058633213519813515,0.16840132027972032,0.10976810675990677,0.02574306885481841,7.994472980499268e-06
AULC,aulc_cost,gp_rbf_rank,app,30,0.058633213519813515,0.5289674923076924,0.4703342787878787,0.04261564684947305,1.862645149230957e-09
AULC,aulc_cost,gp_rbf_blend,app,30,0.058633213519813515,0.033345029603729606,-0.02528818391608391,0.015972549570613635,0.7303419969975948
AULC,aulc_cost,gp_dot_blend,app,30,0.058633213519813515,0.051463141958041955,-0.007170071561771561,0.016841187254448515,0.6554384250193834
AULC,aulc_cost,gp_rbf_blend_straddle,app,30,0.058633213519813515,0.058745541258741256,0.00011232773892773847,0.022270337125409885,0.8871948085725307
AULC,aulc_cost,gp_rbf_blend_maxvar,app,30,0.058633213519813515,0.019272275058275053,-0.03936093846153846,0.01454555744057428,0.2621222734451294
