n_labels,metric,arm,ref,n,ref_mean,arm_mean,delta,se,wilcoxon_p
32,brier,gp_rbf@fixed,svm_linear,30,0.12138663499781875,0.14379693930970852,0.022410304311889735,0.0032602483453385025,8.326023817062378e-07
64,brier,gp_dot,svm_linear,30,0.10567440486934761,0.06645949794972779,-0.03921490691961978,0.0008418386871708707,1.862645149230957e-09
64,brier,gp_rbf,svm_linear,30,0.10567440486934761,0.057281215328745375,-0.0483931895406022,0.0006878422306563167,1.862645149230957e-09
64,brier,gp_rbf@fixed,svm_linear,30,0.10567440486934761,0.08153138746824595,-0.024143017401101644,0.0036989852480580386,2.551823854446411e-07
128,brier,gp_dot,svm_linear,30,0.0914245761035287,0.04761670043951935,-0.043807875664009364,0.0006325444138425215,1.862645149230957e-09
128,brier,gp_rbf,svm_linear,30,0.0914245761035287,0.03569187170154996,-0.05573270440197874,0.0006326880123622755,1.862645149230957e-09
128,brier,gp_rbf@fixed,svm_linear,30,0.0914245761035287,0.04442740524449212,-0.04699717085903658,0.0029787987837640063,1.862645149230957e-09
8,ece,gp_dot,svm_linear,30,0.41817847199229125,0.4332558519856876,0.01507737999339623,0.006068412861203578,0.047259049490094185
8,ece,gp_rbf,svm_linear,30,0.41817847199229125,0.448354518130855,0.030176046138563742,0.0032079901293136305,9.313225746154785e-09
8,ece,gp_rbf@fixed,svm_linear,30,0.41817847199229125,0.44961362284281337,0.031435150850522134,0.004120099961820817,1.8244609236717224e-05
16,ece,gp_dot,svm_linear,30,0.3824139220181081,0.35764598666077624,-0.02476793535733189,0.0014859361681516534,1.862645149230957e-09
16,ece,gp_rbf,svm_linear,30,0.3824139220181081,0.36304663210415905,-0.019367289913948992,0.0009783104709788532,1.862645149230957e-09
16,ece,gp_rbf@fixed,svm_linear,30,0.3824139220181081,0.44159498105562167,0.05918105903751363,0.0015869107357028918,1.862645149230957e-09
32,ece,gp_dot,svm_linear,30,0.34278817332060024,0.29476469676385747,-0.04802347655674273,0.0013470281623631144,1.862645149230957e-09
32,ece,gp_rbf,svm_linear,30,0.34278817332060024,0.288382248947583,-0.0544059243730171,0.0009109350867433101,1.862645149230957e-09
32,ece,gp_rbf@fixed,svm_linear,30,0.34278817332060024,0.37030163139864164,0.02751345807804147,0.004035835925597848,1.4193356037139893e-06
64,ece,gp_dot,svm_linear,30,0.3202853851560057,0.2490045065000878,-0.07128087865591783,0.0014875360811648873,1.862645149230957e-09
64,ece,gp_rbf,svm_linear,30,0.3202853851560057,0.2300003090477565,-0.09028507610824911,0.0011011701818579016,1.862645149230957e-09
64,ece,gp_rbf@fixed,svm_linear,30,0.3202853851560057,0.27491238416899744,-0.04537300098700821,0.006067447807812443,2.551823854446411e-07
128,ece,gp_dot,svm_linear,30,0.2984476375958699,0.21063754968248338,-0.08781008791338651,0.0011703403926864326,1.862645149230957e-09
128,ece,gp_rbf,svm_linear,30,0.2984476375958699,0.17943326037369786,-0.11901437722217205,0.0009790568472452922,1.862645149230957e-09
128,ece,gp_rbf@fixed,svm_linear,30,0.2984476375958699,0.19188466489047504,-0.10656297270539487,0.006910896692811688,1.862645149230957e-09
