dataset,embedder,style,inclusion_k,n_cells,d_mean,d_se,d_lo,d_hi,a_mean,b_mean,contrast,arm_b,harmed,sig_better,sig_worse
visual_genome_m,siglip+dinov3_patch,max_patch,-9.0,68,-0.0042849004127412695,0.0009335924880611239,-0.00615086270842788,-0.0024949664737692456,0.044305716425637645,0.040020816012896365,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-8.0,68,-0.0049468377498851105,0.0010240352748809873,-0.006922682700547161,-0.003039094964089788,0.04704967945255054,0.04210284170266545,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-7.0,68,-0.0058060068359375,0.0010932247190394095,-0.007938613543356503,-0.0037400979525505514,0.04983697918887868,0.04403097235294118,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-6.0,68,-0.006935121661305147,0.0011622299257509027,-0.009232802520392923,-0.004716508620145911,0.052390552919347425,0.04545543125804227,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-5.0,68,-0.008795271771599264,0.0011695747195087445,-0.01103845490912224,-0.006578581091567095,0.05446080562270221,0.04566553385110294,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-4.0,68,-0.012124530215992649,0.0014247627368452014,-0.014931097127412685,-0.009377523048598351,0.05579219219669117,0.04366766198069853,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-3.0,68,-0.01438199234375,0.0016475691603510612,-0.017778406951746324,-0.011249141013786766,0.05355544968749999,0.03917345734374999,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-2.0,68,-0.013062060404411765,0.0017978143773765248,-0.016453352767463236,-0.009612030147977948,0.04780066790441177,0.03473860749999999,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-1.0,68,-0.00913934768382353,0.0024729180874028082,-0.01373258698897059,-0.003940285831801477,0.04513824301470587,0.03599889533088235,recut,cross_tilt,False,True,False
visual_genome_m,siglip+dinov3_patch,max_patch,-0.5,68,-0.005926133770020363,0.0032760409637212972,-0.012123365172484636,0.0009735957217003514,0.045067114459251524,0.03914098068923116,recut,cross_tilt,False,False,False
visual_genome_m,siglip+dinov3_patch,max_patch,-0.25,68,-0.0036618065449842696,0.0037444886787978485,-0.010449420530601708,0.004303517405688107,0.04589747010938544,0.04223566356440117,recut,cross_tilt,False,False,False
visual_genome_m,siglip+dinov3_patch,max_patch,0.0,68,-0.0009327738235294108,0.004314902716737433,-0.009182576450367646,0.007940043016544118,0.047612051249999995,0.046679277426470586,recut,cross_tilt,False,False,False
visual_genome_m,siglip+dinov3_patch,max_patch,1.0,68,0.008916550514705879,0.004008434074234566,0.0014741262499999995,0.016916737713235288,0.03268602213235294,0.04160257264705883,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,2.0,68,0.013498237499999996,0.0037940103835914433,0.0063510734664522055,0.021308240067555145,0.028613746819852938,0.04211198431985295,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,3.0,68,0.01667477596507353,0.00386670335878585,0.009119109354549633,0.02450146463878676,0.02708362306985294,0.04375839903492646,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,4.0,68,0.021154987670036766,0.0040240641208625265,0.01385417159340533,0.02937238252113969,0.026497701585477942,0.04765268925551471,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,5.0,68,0.022185299958639704,0.0036915986699983844,0.015446910541590073,0.029721833677562037,0.025857495974264705,0.048042795932904406,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,6.0,68,0.02143760778033088,0.003341148581230129,0.015249026577406942,0.028591041635943233,0.024024304958639706,0.045461912738970586,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,7.0,68,0.018785756284466913,0.0028282853132762646,0.01354883787344899,0.024718190784940825,0.02157735046357996,0.04036310674804687,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,8.0,68,0.0167007558605239,0.002256809685430158,0.012401792818467082,0.021201652182114544,0.01877409781307445,0.035474853673598344,recut,cross_tilt,True,False,True
visual_genome_m,siglip+dinov3_patch,max_patch,9.0,68,0.014020049093089387,0.0019201327924465673,0.01059606855064841,0.017981438855562096,0.016562894251493567,0.030582943344582957,recut,cross_tilt,True,False,True
