geometry,mode,band,arm,fraction,mean,sd,n_cells,metric
siglip/whole_image,binary,deep 101-150,0.30,0.3,0.003848912916666667,0.01464492050274203,48,regret_honest
siglip/whole_image,binary,deep 101-150,0.40,0.4,0.007048222916666667,0.014911363832356818,48,regret_honest
siglip/whole_image,binary,deep 101-150,0.50,0.5,0.011674514999999998,0.018610080945561897,48,regret_honest
siglip/whole_image,binary,deep 101-150,0.60,0.6,0.014986230416666668,0.01821897929609038,48,regret_honest
siglip/whole_image,binary,deep 101-150,0.70,0.7,0.016988305416666665,0.023966543116803737,48,regret_honest
siglip/whole_image,binary,early 1-25,0.30,0.3,0.03866547316919192,0.022618874523553132,48,regret_honest
siglip/whole_image,binary,early 1-25,0.40,0.4,0.04243475768555116,0.02471502570747106,48,regret_honest
siglip/whole_image,binary,early 1-25,0.50,0.5,0.052926286413729685,0.028513696193446094,48,regret_honest
siglip/whole_image,binary,early 1-25,0.60,0.6,0.06293358021450922,0.03521735918011908,48,regret_honest
siglip/whole_image,binary,early 1-25,0.70,0.7,0.07590777369139767,0.03525434469910273,48,regret_honest
siglip/whole_image,binary,late 61-100,0.30,0.3,0.0022275484375,0.012363028642465636,48,regret_honest
siglip/whole_image,binary,late 61-100,0.40,0.4,0.005195507291666667,0.01222179095120456,48,regret_honest
siglip/whole_image,binary,late 61-100,0.50,0.5,0.007159871354166666,0.01889104301912695,48,regret_honest
siglip/whole_image,binary,late 61-100,0.60,0.6,0.013557458854166668,0.01961373583209642,48,regret_honest
siglip/whole_image,binary,late 61-100,0.70,0.7,0.015496644270833334,0.022754999403390548,48,regret_honest
siglip/whole_image,binary,mid 26-60,0.30,0.3,0.008560937499999999,0.016684646045466926,48,regret_honest
siglip/whole_image,binary,mid 26-60,0.40,0.4,0.010116038095238094,0.019032920689149975,48,regret_honest
siglip/whole_image,binary,mid 26-60,0.50,0.5,0.01864696488095238,0.0203091505738999,48,regret_honest
siglip/whole_image,binary,mid 26-60,0.60,0.6,0.018027425,0.021958966041892604,48,regret_honest
siglip/whole_image,binary,mid 26-60,0.70,0.7,0.01798385238095238,0.022510506966175323,48,regret_honest
dinov3_patch/max_patch,region,deep 101-150,0.30,0.3,0.033653530833333334,0.02215183315357703,48,regret
dinov3_patch/max_patch,region,deep 101-150,0.40,0.4,0.03320630791666667,0.023611123380320353,48,regret
dinov3_patch/max_patch,region,deep 101-150,0.50,0.5,0.0316978225,0.019329735468804742,48,regret
dinov3_patch/max_patch,region,deep 101-150,0.60,0.6,0.03076991583333333,0.019604206330047644,48,regret
dinov3_patch/max_patch,region,deep 101-150,0.70,0.7,0.03793108791666667,0.02205109755863499,48,regret
dinov3_patch/max_patch,region,early 1-25,0.30,0.3,0.03789704591087505,0.021539255376221592,48,regret
dinov3_patch/max_patch,region,early 1-25,0.40,0.4,0.03849294448561704,0.017257150586980685,48,regret
dinov3_patch/max_patch,region,early 1-25,0.50,0.5,0.044170909399703556,0.019138502231648827,48,regret
dinov3_patch/max_patch,region,early 1-25,0.60,0.6,0.048507966509524596,0.025613340040500168,48,regret
dinov3_patch/max_patch,region,early 1-25,0.70,0.7,0.048224422410243745,0.019754040814136238,48,regret
dinov3_patch/max_patch,region,late 61-100,0.30,0.3,0.0305452609375,0.018044609471112718,48,regret
dinov3_patch/max_patch,region,late 61-100,0.40,0.4,0.030884016666666667,0.017450126408027133,48,regret
dinov3_patch/max_patch,region,late 61-100,0.50,0.5,0.03094026875,0.01624984627418654,48,regret
dinov3_patch/max_patch,region,late 61-100,0.60,0.6,0.028606157291666667,0.01568023267190081,48,regret
dinov3_patch/max_patch,region,late 61-100,0.70,0.7,0.04137339375,0.02528981388102586,48,regret
dinov3_patch/max_patch,region,mid 26-60,0.30,0.3,0.03317856369047619,0.02025837327030568,48,regret
dinov3_patch/max_patch,region,mid 26-60,0.40,0.4,0.029329091071428573,0.01170833629058878,48,regret
dinov3_patch/max_patch,region,mid 26-60,0.50,0.5,0.035140070833333335,0.015807058495936135,48,regret
dinov3_patch/max_patch,region,mid 26-60,0.60,0.6,0.03782568214285714,0.028961874504510127,48,regret
dinov3_patch/max_patch,region,mid 26-60,0.70,0.7,0.03913543571428572,0.01741503262134523,48,regret
dinov3_patch/whole_image,binary,deep 101-150,0.30,0.3,0.039624022083333335,0.04055387826123289,48,regret
dinov3_patch/whole_image,binary,deep 101-150,0.40,0.4,0.033130217499999996,0.0347678971732269,48,regret
dinov3_patch/whole_image,binary,deep 101-150,0.50,0.5,0.023939086666666665,0.019780889867080594,48,regret
dinov3_patch/whole_image,binary,deep 101-150,0.60,0.6,0.024753377083333333,0.02363313836737349,48,regret
dinov3_patch/whole_image,binary,deep 101-150,0.70,0.7,0.026129923750000002,0.012690102545955005,48,regret
dinov3_patch/whole_image,binary,early 1-25,0.30,0.3,0.06808932510567632,0.02422608430820167,48,regret
dinov3_patch/whole_image,binary,early 1-25,0.40,0.4,0.07095830529479578,0.026272956872514353,48,regret
dinov3_patch/whole_image,binary,early 1-25,0.50,0.5,0.08004285601257137,0.03556872024198572,48,regret
dinov3_patch/whole_image,binary,early 1-25,0.60,0.6,0.08471230260142182,0.03328459744920481,48,regret
dinov3_patch/whole_image,binary,early 1-25,0.70,0.7,0.0997668101360068,0.048484941958790835,48,regret
dinov3_patch/whole_image,binary,late 61-100,0.30,0.3,0.03327768177083333,0.02194512870673655,48,regret
dinov3_patch/whole_image,binary,late 61-100,0.40,0.4,0.02700846770833333,0.015416342589345674,48,regret
dinov3_patch/whole_image,binary,late 61-100,0.50,0.5,0.02670890989583333,0.014420192329736414,48,regret
dinov3_patch/whole_image,binary,late 61-100,0.60,0.6,0.02740905416666667,0.019253964734937352,48,regret
dinov3_patch/whole_image,binary,late 61-100,0.70,0.7,0.03044820260416667,0.014842846383281493,48,regret
dinov3_patch/whole_image,binary,mid 26-60,0.30,0.3,0.0399161494047619,0.020152062777005732,48,regret
dinov3_patch/whole_image,binary,mid 26-60,0.40,0.4,0.03815799166666667,0.02115815977700359,48,regret
dinov3_patch/whole_image,binary,mid 26-60,0.50,0.5,0.039721781547619045,0.01639543402008909,48,regret
dinov3_patch/whole_image,binary,mid 26-60,0.60,0.6,0.041972048809523814,0.019950388430306814,48,regret
dinov3_patch/whole_image,binary,mid 26-60,0.70,0.7,0.0435304738095238,0.019462750312133143,48,regret
siglip/whole_image,binary,deep 101-150,0.30,0.3,0.02361156458333333,0.012898765952191584,48,regret
siglip/whole_image,binary,deep 101-150,0.40,0.4,0.02715639791666667,0.013771611058434195,48,regret
siglip/whole_image,binary,deep 101-150,0.50,0.5,0.032028300833333335,0.0158981146354001,48,regret
siglip/whole_image,binary,deep 101-150,0.60,0.6,0.03523638541666667,0.01583649070422054,48,regret
siglip/whole_image,binary,deep 101-150,0.70,0.7,0.0379963625,0.020471813920972453,48,regret
siglip/whole_image,binary,early 1-25,0.30,0.3,0.06268487282471454,0.020185350141005323,48,regret
siglip/whole_image,binary,early 1-25,0.40,0.4,0.06650219016592555,0.02158600820691532,48,regret
siglip/whole_image,binary,early 1-25,0.50,0.5,0.0769476451333992,0.02516989872838504,48,regret
siglip/whole_image,binary,early 1-25,0.60,0.6,0.08701168283720356,0.03081636158395563,48,regret
siglip/whole_image,binary,early 1-25,0.70,0.7,0.09960757556886803,0.03219030970790206,48,regret
siglip/whole_image,binary,late 61-100,0.30,0.3,0.023753603645833333,0.01074246894209805,48,regret
siglip/whole_image,binary,late 61-100,0.40,0.4,0.02588393177083333,0.01126200286876083,48,regret
siglip/whole_image,binary,late 61-100,0.50,0.5,0.029343996875,0.015303495059119163,48,regret
siglip/whole_image,binary,late 61-100,0.60,0.6,0.03490538802083334,0.015822029619372572,48,regret
siglip/whole_image,binary,late 61-100,0.70,0.7,0.03617574322916667,0.02027380258540074,48,regret
siglip/whole_image,binary,mid 26-60,0.30,0.3,0.03145660833333334,0.014611803471016309,48,regret
siglip/whole_image,binary,mid 26-60,0.40,0.4,0.0320051505952381,0.01661768510573938,48,regret
siglip/whole_image,binary,mid 26-60,0.50,0.5,0.0394021619047619,0.01802495496879264,48,regret
siglip/whole_image,binary,mid 26-60,0.60,0.6,0.040469244642857144,0.01893529986168686,48,regret
siglip/whole_image,binary,mid 26-60,0.70,0.7,0.040299432142857146,0.019298214697614145,48,regret
dinov3_patch/max_patch,region,deep 101-150,0.30,0.3,75.29333333333334,0.20368241166751416,48,n_cal_scores
dinov3_patch/max_patch,region,deep 101-150,0.40,0.4,100.41333333333334,0.18419847451644186,48,n_cal_scores
dinov3_patch/max_patch,region,deep 101-150,0.50,0.5,125.51166666666667,0.19629909152447325,48,n_cal_scores
dinov3_patch/max_patch,region,deep 101-150,0.60,0.6,150.595,0.19150023609784714,48,n_cal_scores
dinov3_patch/max_patch,region,deep 101-150,0.70,0.7,175.66666666666666,0.20879933697348463,48,n_cal_scores
dinov3_patch/max_patch,region,early 1-25,0.30,0.3,9.113095238095239,0.3076084452111235,48,n_cal_scores
dinov3_patch/max_patch,region,early 1-25,0.40,0.4,12.035714285714285,0.31102046388071325,48,n_cal_scores
dinov3_patch/max_patch,region,early 1-25,0.50,0.5,14.990079365079366,0.3244522992352203,48,n_cal_scores
dinov3_patch/max_patch,region,early 1-25,0.60,0.6,18.07936507936508,0.28492517392920114,48,n_cal_scores
dinov3_patch/max_patch,region,early 1-25,0.70,0.7,21.407618003341685,0.5609506431634171,48,n_cal_scores
dinov3_patch/max_patch,region,late 61-100,0.30,0.3,48.296875,0.2395488334703834,48,n_cal_scores
dinov3_patch/max_patch,region,late 61-100,0.40,0.4,64.325,0.2290126819864758,48,n_cal_scores
dinov3_patch/max_patch,region,late 61-100,0.50,0.5,80.46770833333333,0.21598108253776327,48,n_cal_scores
dinov3_patch/max_patch,region,late 61-100,0.60,0.6,96.609375,0.21798307810567435,48,n_cal_scores
dinov3_patch/max_patch,region,late 61-100,0.70,0.7,112.66354166666667,0.1703374570984936,48,n_cal_scores
