dataset,geometry,category,seed,mode,band,metric,n,mean,sd,range,p05,p95,pin_value,pin_percentile
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,deep 101-150,regret,20.0,0.047152172000000006,0.03281190598199597,0.1246241,0.017074189,0.11009230200000002,0.046964179999999994,0.725
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,deep 101-150,n_good,20.0,32.075,11.484700807229546,42.78,18.817,50.36800000000001,27.0,0.475
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,early 1-25,cost,20.0,0.7704298386363637,0.039047980691690375,0.16122372727272727,0.7000084840909091,0.8015621931818182,0.7974019999999999,0.825
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,early 1-25,f1,20.0,0.05956836363636363,0.006969610803407801,0.025815454545454558,0.053709822727272725,0.07029417045454547,0.05468527272727273,0.225
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,early 1-25,auroc,20.0,0.7539863750000001,0.010250162181562866,0.04651581818181827,0.7414336568181819,0.7724862818181818,0.7518708636363637,0.325
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,early 1-25,threshold,20.0,0.42937317272727277,0.013753464801742226,0.05091554545454552,0.40777929545454544,0.4517034022727273,0.4061206818181818,0.025
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,early 1-25,oracle_cost,20.0,0.5976285818181818,0.01581049680216516,0.06372159090909091,0.5751218318181818,0.6200568704545455,0.6077040909090909,0.675
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,early 1-25,regret,20.0,0.17280122727272726,0.03126673836541492,0.12906495454545452,0.1297016659090909,0.2171065727272727,0.18969790909090908,0.775
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,early 1-25,n_good,20.0,7.647727272727272,1.2283687291148562,3.954545454545455,6.190909090909091,9.325000000000001,5.5,0.025
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,late 61-100,cost,20.0,0.560545235,0.05521228356645935,0.19609955,0.48401040000000006,0.650319945,0.549161425,0.525
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,late 61-100,f1,20.0,0.11261685875,0.03163508960822584,0.1141349,0.0687279975,0.1567341925,0.10462880000000001,0.425
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,late 61-100,auroc,20.0,0.806832905,0.022726860041931994,0.07932754999999991,0.77058784,0.8372244587500001,0.7928419250000001,0.275
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,late 61-100,threshold,20.0,0.33902885125,0.013224520288082266,0.04560072499999995,0.31597248,0.36003791,0.3360021,0.375
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,late 61-100,oracle_cost,20.0,0.483212125,0.030556364920883913,0.1068344750000001,0.43402287375,0.53148757,0.4698698,0.275
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,late 61-100,regret,20.0,0.07733310624999999,0.05965224835164368,0.19166272499999998,0.01803925625,0.18016617250000003,0.07929165,0.625
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,late 61-100,n_good,20.0,29.972500000000004,10.852418782052812,34.925,17.1825,47.33375,25.975,0.475
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,mid 26-60,cost,20.0,0.6763498614285713,0.07492863333163166,0.2778926857142858,0.5423564928571429,0.7647826685714286,0.7336671714285714,0.725
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,mid 26-60,f1,20.0,0.08505093142857142,0.04019842302743722,0.13783371428571428,0.05818041857142857,0.18730722,0.062043771428571426,0.375
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,mid 26-60,auroc,20.0,0.7818631542857142,0.02016814396738759,0.07636194285714293,0.7513766914285714,0.8125205842857144,0.7728253428571429,0.375
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,mid 26-60,threshold,20.0,0.37887153285714287,0.017250883695520393,0.0572399714285714,0.35994369428571427,0.4080663528571428,0.3548225428571429,0.025
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,mid 26-60,oracle_cost,20.0,0.5348696185714286,0.027868240319616565,0.10721311428571423,0.4856189842857143,0.56887394,0.5300551714285714,0.425
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,mid 26-60,regret,20.0,0.14148021428571428,0.0701451216662252,0.2079566,0.024102318571428572,0.22546203714285715,0.20361202857142857,0.775
vg_scale_any,dinov3_patch/whole_image,bird,4,binary,mid 26-60,n_good,20.0,23.048571428571428,5.681107439581164,18.6,13.60142857142857,29.541428571428572,20.82857142857143,0.325
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,deep 101-150,cost,20.0,0.28091176500000004,0.04041465353417293,0.11437466000000002,0.231022742,0.340349254,0.33289018,0.775
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,deep 101-150,f1,20.0,0.24401507800000002,0.03554548956835416,0.12345944,0.186059848,0.28362358000000004,0.24995614,0.525
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,deep 101-150,auroc,20.0,0.912138779,0.020091742047865267,0.06292138000000014,0.88547786,0.939851178,0.88574738,0.075
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,deep 101-150,threshold,20.0,0.31678489600000004,0.01378493086898589,0.050399479999999997,0.300380924,0.339742259,0.30779742,0.275
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,deep 101-150,oracle_cost,20.0,0.25920798700000003,0.043640258990848675,0.13473361999999997,0.20890078399999998,0.323993705,0.31581184,0.775
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,deep 101-150,regret,20.0,0.021703801,0.006121817171528402,0.02294176,0.016030158000000003,0.034372265,0.01707846,0.275
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,deep 101-150,n_good,20.0,26.676,4.187327247025745,15.84,21.966,33.037,22.88,0.175
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,early 1-25,cost,20.0,0.6622211909090908,0.03030775720271785,0.1237412272727273,0.6194007636363636,0.7058780681818182,0.6835598636363636,0.775
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,early 1-25,f1,20.0,0.08670174772727274,0.018194567335372853,0.061562318181818176,0.06975635227272728,0.11966333636363637,0.08148204545454546,0.575
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,early 1-25,auroc,20.0,0.7771446204545455,0.0319008699861435,0.13497122727272737,0.7374427022727272,0.8139629772727274,0.7483163181818182,0.175
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,early 1-25,threshold,20.0,0.4089397454545455,0.013360725144862608,0.04955745454545463,0.38951109772727277,0.4312757022727273,0.39257295454545454,0.125
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,early 1-25,oracle_cost,20.0,0.5600722227272728,0.046071082337168036,0.21563722727272722,0.5145289068181819,0.6222222977272728,0.5950263636363636,0.825
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,early 1-25,regret,20.0,0.10214892727272729,0.03446121670803785,0.13664422727272726,0.06047763863636364,0.14645245000000004,0.08853354545454545,0.425
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,early 1-25,n_good,20.0,7.75909090909091,1.1484145698999193,3.8181818181818175,6.088636363636364,9.647727272727273,6.090909090909091,0.075
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,late 61-100,cost,20.0,0.35414524125,0.07040073094182317,0.22023652500000002,0.27359771,0.46919703,0.4422397,0.775
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,late 61-100,f1,20.0,0.22401936125000002,0.03531120890545711,0.129924975,0.17824522625,0.28763471625,0.21927595000000003,0.425
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,late 61-100,auroc,20.0,0.8786813137499999,0.03640668039469152,0.11478612499999996,0.80896210125,0.9184449462500001,0.857287075,0.275
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,late 61-100,threshold,20.0,0.3250604025,0.013551380336276234,0.047401625,0.3101673225,0.35403428249999996,0.3220731,0.425
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,late 61-100,oracle_cost,20.0,0.33134716500000005,0.07214046719152302,0.224994425,0.24383333750000002,0.44332021499999996,0.41029497499999995,0.775
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,late 61-100,regret,20.0,0.02279805625,0.006928431603368657,0.028614025000000005,0.01547170375,0.03249815125000001,0.03194475,0.925
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,late 61-100,n_good,20.0,20.442500000000003,2.402124881717939,7.925000000000001,17.85,25.276249999999997,17.875,0.075
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,mid 26-60,cost,20.0,0.4600343242857143,0.07908575924294502,0.30392197142857147,0.36327507857142854,0.568072502857143,0.6600056857142858,0.975
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,mid 26-60,f1,20.0,0.1903095714285714,0.027189464574620112,0.09390917142857144,0.1489746557142857,0.23290404999999997,0.1753327142857143,0.275
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,mid 26-60,auroc,20.0,0.8352682814285712,0.04013842412741121,0.16553414285714285,0.7850369171428571,0.8774654385714284,0.7199500285714285,0.025
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,mid 26-60,threshold,20.0,0.34877634142857145,0.009441250211285173,0.03317680000000006,0.33384494142857146,0.36330002142857143,0.3407817142857143,0.275
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,mid 26-60,oracle_cost,20.0,0.4249830771428571,0.07633830840197316,0.29241222857142857,0.33502931714285716,0.5388492685714287,0.6263189714285714,0.975
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,mid 26-60,regret,20.0,0.03505128285714286,0.0102046468500952,0.04328445714285714,0.022162607142857144,0.05412377000000001,0.033686742857142855,0.375
vg_scale_any,dinov3_patch/whole_image,fork,0,binary,mid 26-60,n_good,20.0,15.767142857142861,1.917666748225632,7.942857142857143,12.962857142857143,18.81571428571429,12.8,0.025
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,deep 101-150,cost,20.0,0.25638766699999993,0.02820959619643401,0.12583434,0.21549649799999998,0.2871938910000001,0.24396292,0.325
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,deep 101-150,f1,20.0,0.24007563400000004,0.02111156617532684,0.063085,0.213116499,0.273104803,0.2247304,0.275
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,deep 101-150,auroc,20.0,0.932558639,0.014619634928874838,0.05910545999999994,0.9148821709999999,0.9511812849999999,0.9394223599999999,0.625
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,deep 101-150,threshold,20.0,0.329549908,0.01076386695318507,0.03808838000000003,0.310511144,0.34406036700000003,0.31657406,0.125
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,deep 101-150,oracle_cost,20.0,0.237123775,0.03050502234661653,0.12998443999999998,0.199487164,0.27191028700000003,0.22502832,0.325
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,deep 101-150,regret,20.0,0.019263882000000003,0.0062180970616348185,0.02243742,0.012776778,0.03247151,0.01893456,0.675
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,deep 101-150,n_good,20.0,26.424000000000007,4.670438275388138,18.72,19.127,31.672,27.96,0.675
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,early 1-25,cost,20.0,0.5775370545454546,0.056418614456547236,0.1899084090909091,0.49192705,0.6738322272727272,0.6781573181818182,0.975
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,early 1-25,f1,20.0,0.08565086818181818,0.015998881693940318,0.048986772727272726,0.06622138181818181,0.11144365,0.0635574090909091,0.025
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,early 1-25,auroc,20.0,0.8512815022727273,0.028094644838635413,0.10878804545454546,0.7954535931818182,0.883846390909091,0.8197024545454545,0.175
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,early 1-25,threshold,20.0,0.4209315659090909,0.010757855939824897,0.03700622727272718,0.4060183431818182,0.44139272954545455,0.4222166363636364,0.625
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,early 1-25,oracle_cost,20.0,0.42587121136363637,0.049025143626615975,0.20434354545454547,0.3619466704545454,0.5123163113636364,0.46731704545454544,0.825
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,early 1-25,regret,20.0,0.1516658772727273,0.04668045963076072,0.1448480909090909,0.09558534545454547,0.21599252727272727,0.21084022727272728,0.875
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,early 1-25,n_good,20.0,6.388636363636365,1.38236540096437,4.545454545454545,4.595454545454546,8.190909090909091,7.7272727272727275,0.675
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,late 61-100,cost,20.0,0.28056756374999997,0.04092089663612918,0.16591820000000002,0.22911808375,0.34905248375,0.2941058,0.725
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,late 61-100,f1,20.0,0.21841449875,0.01829793512373099,0.07547592499999997,0.1887338125,0.24172216875000005,0.20729247499999998,0.225
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,late 61-100,auroc,20.0,0.9252956975,0.020842651829898272,0.09354810000000002,0.89514848625,0.9557255775,0.9099589,0.125
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,late 61-100,threshold,20.0,0.33911528375,0.011847583399838827,0.04390642500000003,0.32450913125,0.353754895,0.32991765,0.275
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,late 61-100,oracle_cost,20.0,0.25972071625000004,0.04238789093505507,0.17198450000000004,0.20384842749999998,0.33289786750000006,0.268349825,0.725
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,late 61-100,regret,20.0,0.02084683625,0.005641443198404176,0.020922850000000003,0.01332327625,0.029121256250000005,0.025755975000000004,0.775
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,late 61-100,n_good,20.0,18.395000000000003,4.263203947119683,13.399999999999999,11.74625,24.6475,23.2,0.825
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,mid 26-60,cost,20.0,0.3768187471428571,0.06378124271691522,0.25475845714285716,0.28580279000000003,0.4719135957142857,0.46932328571428567,0.925
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,mid 26-60,f1,20.0,0.18278933,0.026351713360339948,0.10271002857142858,0.130912,0.2179245542857143,0.13159585714285715,0.075
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,mid 26-60,auroc,20.0,0.8846660814285714,0.03184755972677478,0.1347491428571429,0.8413579128571429,0.9257384085714288,0.8616639142857143,0.225
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,mid 26-60,threshold,20.0,0.36388923571428566,0.014966945071946723,0.05410237142857138,0.3421404371428571,0.3801020642857143,0.3790392285714286,0.825
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,mid 26-60,oracle_cost,20.0,0.3446156642857142,0.05545313490605641,0.22752600000000006,0.25879742857142857,0.40191354000000007,0.35828962857142854,0.625
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,mid 26-60,regret,20.0,0.032203088571428576,0.02136929217737578,0.09410648571428572,0.01720511714285714,0.061308868571428615,0.11103371428571429,0.975
vg_scale_any,dinov3_patch/whole_image,fork,1,binary,mid 26-60,n_good,20.0,12.577142857142858,4.011611503229894,14.6,7.704285714285715,20.322857142857142,21.02857142857143,0.975
vg_scale_any,dinov3_patch/whole_image,fork,2,binary,deep 101-150,cost,20.0,0.261100451,0.039465403782804095,0.13872696000000004,0.220444158,0.325777364,0.23819626,0.325
vg_scale_any,dinov3_patch/whole_image,fork,2,binary,deep 101-150,f1,20.0,0.24717894399999998,0.023399671562267795,0.08519559999999998,0.216257953,0.28131437,0.25763932,0.625
vg_scale_any,dinov3_patch/whole_image,fork,2,binary,deep 101-150,auroc,20.0,0.928771519,0.01861558447697263,0.060972939999999975,0.893961848,0.950012914,0.93985366,0.675
vg_scale_any,dinov3_patch/whole_image,fork,2,binary,deep 101-150,threshold,20.0,0.317444698,0.010816126300599587,0.04032730000000001,0.302716439,0.33303748400000005,0.31455787999999996,0.475
vg_scale_any,dinov3_patch/whole_image,fork,2,binary,deep 101-150,oracle_cost,20.0,0.24012851,0.04035649561732613,0.14169949999999998,0.192527669,0.30825806400000005,0.22700092000000002,0.475
