geometry,mode,t,median,q25,q75,n_blocks
dinov3_patch/whole_image,binary,7,0.04880950043940971,0.023666310405299776,0.09058972568283948,25
dinov3_patch/whole_image,binary,8,0.05559753751921032,0.04878826939603952,0.08060004441325341,25
dinov3_patch/whole_image,binary,9,0.05837504455862155,0.052097823343661566,0.09754866552502478,25
dinov3_patch/whole_image,binary,10,0.05824134176402261,0.0471752573466888,0.07837424715077013,25
dinov3_patch/whole_image,binary,11,0.06899808462518897,0.04769802429252731,0.09260227005197523,25
dinov3_patch/whole_image,binary,12,0.07056109529991497,0.0521830979666536,0.10318461082453394,25
dinov3_patch/whole_image,binary,13,0.06082682961913919,0.051871137743323525,0.10182077617993397,25
dinov3_patch/whole_image,binary,14,0.06941732278335065,0.050855917743195145,0.11016727554849919,25
dinov3_patch/whole_image,binary,15,0.07882435065082163,0.05532668766241782,0.10323799899592002,25
dinov3_patch/whole_image,binary,16,0.07556772564379792,0.054010596142136304,0.10955659770532213,25
dinov3_patch/whole_image,binary,17,0.0737217800198293,0.05674968122739128,0.11679335641491141,25
dinov3_patch/whole_image,binary,18,0.07869159756750599,0.060690829349100014,0.09940271095862367,25
dinov3_patch/whole_image,binary,19,0.07542109337223345,0.06310398442929441,0.12945357527928486,25
dinov3_patch/whole_image,binary,20,0.08077608534896098,0.0594054260143359,0.11214135472748574,25
dinov3_patch/whole_image,binary,21,0.07653454472699515,0.05914662562539855,0.11329890819480218,25
dinov3_patch/whole_image,binary,22,0.0719390007348148,0.06125712630790504,0.120741502780843,25
dinov3_patch/whole_image,binary,23,0.07626713058432046,0.055767954520471424,0.11326006904320274,25
dinov3_patch/whole_image,binary,24,0.07827445396134916,0.06433550960679327,0.12294367787341529,25
dinov3_patch/whole_image,binary,25,0.0828551782793009,0.05716175615720982,0.1104278678218692,25
dinov3_patch/whole_image,binary,26,0.0831302438294556,0.06380992261435521,0.11423948746079554,25
dinov3_patch/whole_image,binary,27,0.07304140615487616,0.05721938369478062,0.11962372220217289,25
dinov3_patch/whole_image,binary,28,0.08191050146173662,0.06622247300108135,0.11186380418473875,25
dinov3_patch/whole_image,binary,29,0.08295338910090602,0.05427291057346924,0.10907412058985394,25
dinov3_patch/whole_image,binary,30,0.08443801240354089,0.06743886491386887,0.11256033444307476,25
dinov3_patch/whole_image,binary,31,0.08710494602723713,0.07022941341931495,0.11288809789590426,25
dinov3_patch/whole_image,binary,32,0.08631933751591726,0.06826930661591944,0.10567385544041678,25
dinov3_patch/whole_image,binary,33,0.08444913350270619,0.06509326686279504,0.11387914772225585,25
dinov3_patch/whole_image,binary,34,0.08386322600087409,0.06297131343054885,0.0966919614872541,25
dinov3_patch/whole_image,binary,35,0.08256822936589121,0.05583825412894301,0.110156045373633,25
dinov3_patch/whole_image,binary,36,0.08548621220863016,0.06195700948323169,0.11133734130862694,25
dinov3_patch/whole_image,binary,37,0.08230293039003438,0.06472052216860055,0.09925532282864442,25
dinov3_patch/whole_image,binary,38,0.09364837001048686,0.068881868774297,0.10472817973676576,25
dinov3_patch/whole_image,binary,39,0.08475882657732932,0.0645514471377594,0.1055335204868327,25
