geometry,mode,category,band,metric,n_seeds,n_draws,sd_draw,sd_seed,seed_var_was_negative,share_draw
dinov3_patch/max_patch,region,fork,mid 26-60,oracle_cost,5,20,0.02350646744515416,0.009930462655411587,False,0.848558170301957
dinov3_patch/max_patch,region,fork,mid 26-60,regret,5,20,0.019949547109469785,0.005750279943246123,False,0.9232903190510461
dinov3_patch/max_patch,region,fork,mid 26-60,n_good,5,20,3.3063375007964524,3.082293587476459,False,0.5350260813634207
dinov3_patch/max_patch,region,kite,deep 101-150,cost,5,20,0.036436498098088625,0.018944385167236347,False,0.7871995251806636
dinov3_patch/max_patch,region,kite,deep 101-150,f1,5,20,0.050759407831388055,0.03340667412706898,False,0.6977660619741052
dinov3_patch/max_patch,region,kite,deep 101-150,auroc,5,20,0.00184472989406329,0.0023468737957305814,False,0.3818973827855479
dinov3_patch/max_patch,region,kite,deep 101-150,threshold,5,20,0.030045552977913163,0.026251306683246396,False,0.5670923631000233
dinov3_patch/max_patch,region,kite,deep 101-150,oracle_cost,5,20,0.009927309150014026,0.008496312529977118,False,0.5772060637249399
dinov3_patch/max_patch,region,kite,deep 101-150,regret,5,20,0.03348924348646485,0.015767173153564806,False,0.8185550476797084
dinov3_patch/max_patch,region,kite,deep 101-150,n_good,5,20,8.096605994586803,7.361859280672311,False,0.5474232434396309
dinov3_patch/max_patch,region,kite,early 1-25,cost,5,20,0.023919087934042654,0.02679193093350424,False,0.4435299751943267
dinov3_patch/max_patch,region,kite,early 1-25,f1,5,20,0.02650753313338152,0.0352756577093446,False,0.36088423814899506
dinov3_patch/max_patch,region,kite,early 1-25,auroc,5,20,0.0017870787116656798,0.004783933084160489,False,0.12245748517077108
dinov3_patch/max_patch,region,kite,early 1-25,threshold,5,20,0.010543496020329531,0.008271064591164674,False,0.6190438651006072
dinov3_patch/max_patch,region,kite,early 1-25,oracle_cost,5,20,0.010736675704927211,0.022964243520937108,False,0.17938117335331985
dinov3_patch/max_patch,region,kite,early 1-25,regret,5,20,0.022915714732975313,0.03217910423230435,False,0.33648703068717517
dinov3_patch/max_patch,region,kite,early 1-25,n_good,5,20,0.493820235663739,0.2525827565063469,False,0.7926321911983651
dinov3_patch/max_patch,region,kite,late 61-100,cost,5,20,0.03900426353856724,0.017341839494361768,False,0.8349464775288241
dinov3_patch/max_patch,region,kite,late 61-100,f1,5,20,0.047243993759168504,0.03246154754156229,False,0.6792960431988693
dinov3_patch/max_patch,region,kite,late 61-100,auroc,5,20,0.0021481916801984846,0.0020235695905852177,False,0.5298461417333002
dinov3_patch/max_patch,region,kite,late 61-100,threshold,5,20,0.02253117679050571,0.02046209503960408,False,0.5480145048119344
dinov3_patch/max_patch,region,kite,late 61-100,oracle_cost,5,20,0.01322794214372087,0.007609551095805752,False,0.7513554508145552
dinov3_patch/max_patch,region,kite,late 61-100,regret,5,20,0.03784605366208994,0.015647933670162276,False,0.8540063715946705
dinov3_patch/max_patch,region,kite,late 61-100,n_good,5,20,3.45562917951504,3.1013805804728656,False,0.5538687053528568
dinov3_patch/max_patch,region,kite,mid 26-60,cost,5,20,0.03614911366983955,0.0156245438050836,False,0.8425889718118353
dinov3_patch/max_patch,region,kite,mid 26-60,f1,5,20,0.04329827832584769,0.02657301374952422,False,0.7263999490431553
dinov3_patch/max_patch,region,kite,mid 26-60,auroc,5,20,0.0023076526724129303,0.0021184019870743153,False,0.542680294104551
dinov3_patch/max_patch,region,kite,mid 26-60,threshold,5,20,0.019220730231862805,0.01567926862010857,False,0.6004403058303552
dinov3_patch/max_patch,region,kite,mid 26-60,oracle_cost,5,20,0.016330988162725928,0.008130227585537296,False,0.8013814661900878
