tier,class_id,source,method,n_positive,n_pool,stage1_recall_at_k,ap,first_hit,r@10,r@50,r@100
m,spods/stamp_00931_1,spods,vlad_t41000_sift,12,49968,1.0,0.46786586176608314,1,0.3333333333333333,1.0,1.0
m,staver/stamp_stampds-00213_1,staver,sift,15,49968,,0.10070063618289318,20,0.0,0.4,0.8
m,staver/stamp_stampds-00213_1,staver,vlad_t4,15,49968,,0.08301384166014038,7,0.06666666666666667,0.3333333333333333,0.4666666666666667
m,staver/stamp_stampds-00213_1,staver,vlad_t4100_sift,15,49968,0.4666666666666667,0.4634120916907911,1,0.4666666666666667,0.4666666666666667,0.4666666666666667
m,staver/stamp_stampds-00213_1,staver,vlad_t4500_sift,15,49968,0.8666666666666667,0.5220974987489905,1,0.4,0.8666666666666667,0.8666666666666667
m,staver/stamp_stampds-00213_1,staver,vlad_t41000_sift,15,49968,1.0,0.5626981521981521,1,0.4,1.0,1.0
m,staver/stamp_stampds-00230_0,staver,sift,7,49968,,1.0,1,1.0,1.0,1.0
m,staver/stamp_stampds-00230_0,staver,vlad_t4,7,49968,,0.12288479778849908,4,0.2857142857142857,0.42857142857142855,0.5714285714285714
m,staver/stamp_stampds-00230_0,staver,vlad_t4100_sift,7,49968,0.5714285714285714,0.5804846053883066,1,0.5714285714285714,0.5714285714285714,0.5714285714285714
m,staver/stamp_stampds-00230_0,staver,vlad_t4500_sift,7,49968,0.8571428571428571,0.8587151841868822,1,0.8571428571428571,0.8571428571428571,0.8571428571428571
m,staver/stamp_stampds-00230_0,staver,vlad_t41000_sift,7,49968,1.0,1.0,1,1.0,1.0,1.0
m,tobacco800/logo_aah97e00-page02_1_0,tobacco800,sift,56,46659,,0.9602526827997578,1,0.17857142857142858,0.8214285714285714,1.0
m,tobacco800/logo_aah97e00-page02_1_0,tobacco800,vlad_t4,56,46659,,0.01522118119762996,41,0.0,0.017857142857142856,0.05357142857142857
m,tobacco800/logo_aah97e00-page02_1_0,tobacco800,vlad_t4100_sift,56,46659,0.05357142857142857,0.0672689421406563,1,0.05357142857142857,0.05357142857142857,0.05357142857142857
m,tobacco800/logo_aah97e00-page02_1_0,tobacco800,vlad_t4500_sift,56,46659,0.23214285714285715,0.23740979058297057,1,0.17857142857142858,0.23214285714285715,0.23214285714285715
m,tobacco800/logo_aah97e00-page02_1_0,tobacco800,vlad_t41000_sift,56,46659,0.35714285714285715,0.352677632427142,1,0.17857142857142858,0.35714285714285715,0.35714285714285715
