embedder,arm_a,arm_b,median,p95,max
siglip,fp32_notf32_l40s,fp32_det_l40s,0.0,2.220446049250313e-16,4.440892098500626e-16
siglip,fp32_notf32_l40s,fp32_det_v100,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_notf32_l40s,fp32_v100_rack7n03,7.570610804918942e-13,1.8284262992551703e-12,4.761817606890872e-10
siglip,fp32_notf32_l40s,published_pile,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_det_l40s,fp32_det_v100,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_det_l40s,fp32_v100_rack7n03,7.570610804918942e-13,1.8284262992551703e-12,4.761817606890872e-10
siglip,fp32_det_l40s,published_pile,7.573941473992818e-13,1.8284262992551703e-12,4.761957494991975e-10
siglip,fp32_det_v100,fp32_v100_rack7n03,0.0,6.661338147750939e-16,1.3322676295501878e-15
siglip,fp32_det_v100,published_pile,0.0,2.220446049250313e-16,5.551115123125783e-16
siglip,fp32_v100_rack7n03,published_pile,0.0,6.661338147750939e-16,1.3322676295501878e-15
siglip2_l,fp32_l40s,fp32_v100,0.00014848477208551092,0.0005476750350092983,0.011431871538100324
siglip2_l,fp32_l40s,fp16_l40s,2.8545385076794716e-06,1.2246328960507913e-05,0.00035139233630177014
siglip2_l,fp32_l40s,fp16_v100,0.0001502254577121498,0.0005488894288557359,0.012823985707820063
siglip2_l,fp32_l40s,autocast_l40s,2.023841203513399e-06,9.282723166337269e-06,0.00019402465874163166
siglip2_l,fp32_l40s,bf16_l40s,0.00012853196667061972,0.0003202940419656741,0.0032137988192162403
siglip2_l,fp32_l40s,fp32_notf32_l40s,0.0,2.220446049250313e-16,4.440892098500626e-16
siglip2_l,fp32_l40s,fp32_det_l40s,0.0,2.220446049250313e-16,4.440892098500626e-16
siglip2_l,fp32_l40s,fp32_det_v100,0.00014848477208551092,0.0005476750350092983,0.011431871538100324
siglip2_l,fp32_l40s,fp32_v100_rack7n03,2.726374681571997e-12,1.5550516430096193e-11,1.614752109801998e-09
siglip2_l,fp32_l40s,published_pile,2.726374681571997e-12,1.5550516430096193e-11,1.614752109801998e-09
siglip2_l,fp32_v100,fp16_l40s,0.00014961601407670333,0.0005584341495020959,0.009830837458962849
