arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/whole_image,-6,144,7344,-0.01591771771685065,-0.018226518209237635,-0.013631510601706196,0.7065631808278867,-1.0187339782714844
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/whole_image,-6,144,7344,-0.01577003510222615,-0.01810611271382893,-0.013553407232423827,0.7062908496732027,-1.0092822313308716
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/whole_image,-6,144,7344,-0.012905012853423159,-0.015053413374056548,-0.010923640168870938,0.6827342047930284,-0.8259207606315613
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/whole_image,-6,144,7344,-0.0056576534698662174,-0.007972391281776936,-0.003509482862359588,0.4882897603485839,-0.3620898127555847
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/whole_image,-6,144,7344,0.0077085722833645474,0.004443061101647395,0.011174379381110256,0.3729575163398693,0.4933486580848694
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/whole_image,-6,144,7344,0.053059920719230526,0.04609414896839199,0.060358399892824204,0.018927015250544663,3.3958349227905273
fold_anchored_w0.3_q_tilt_qmean_s0.005,vg_scale/siglip+dinov3_patch/whole_image,-6,144,7344,0.08006249357943791,0.07166280742596756,0.08837533081827283,0.005718954248366013,5.12399959564209
fold_anchored_w0.3_mid_qmean,vg_scale/siglip+dinov3_patch/whole_image,-6,144,7344,0.10827948785420934,0.09836793241553701,0.11755562605684544,0.00013616557734204794,6.929887771606445
fold_anchored_w0.3_q_tilt_qmean_s0.08,vg_scale/siglip+dinov3_patch/whole_image,-5,144,7344,-0.01568261411093393,-0.018005030597166814,-0.013404514634256754,0.6693899782135077,-0.5018436908721924
fold_anchored_w0.3_q_tilt_qmean_s0.04,vg_scale/siglip+dinov3_patch/whole_image,-5,144,7344,-0.014650068103549074,-0.016806500939808365,-0.012499876065331882,0.6638071895424836,-0.46880218386650085
fold_anchored_w0.3_cross_tilt_qmean,vg_scale/siglip+dinov3_patch/whole_image,-5,144,7344,-0.01426347519959058,-0.016367958043285093,-0.012170003533124904,0.7028867102396514,-0.45643118023872375
fold_anchored_w0.3_rate_qmean,vg_scale/siglip+dinov3_patch/whole_image,-5,144,7344,-0.005359111180748894,-0.007493147771603819,-0.0032886238317941133,0.49673202614379086,-0.1714915633201599
fold_anchored_w0.3_q_tilt_qmean_s0.02,vg_scale/siglip+dinov3_patch/whole_image,-5,144,7344,0.016390189878399672,0.012528724999418886,0.02061358870278048,0.2440087145969499,0.5244860649108887
fold_anchored_w0.3_q_tilt_qmean_s0.01,vg_scale/siglip+dinov3_patch/whole_image,-5,144,7344,0.05570914784251121,0.04874052444520203,0.06270509136646878,0.01661220043572985,1.782692790031433
