dataset,embedder,seed,ks_shipped,sd_shipped,ks_deepest,sd_deepest,path_len,frac_below_05,ks_build,sd_uniform,deepest_widens,path_len_resolvable
vg_box_large,siglip,0,0.1040670696894328,0.2465525064393391,0.1473881485720541,0.3167185647930969,5.536666666666667,0.0433333333333333,0.0794884363810221,0.2886751345948129,True,True
vg_box_large,siglip,1,0.1132802327473958,0.2459949177443294,0.1364454629014196,0.3133632566310949,5.505,0.0470833333333333,0.0789285477002461,0.2886751345948129,True,True
vg_box_large,siglip,2,0.0990104262034098,0.2526894365025505,0.132355002494571,0.3087145717334341,5.485416666666667,0.0466666666666666,0.0800746583938598,0.2886751345948129,True,True
vg_scale_any,siglip,0,0.1136105215264721,0.2414728867863111,0.1135257020382242,0.3135530705902102,5.075532601678503,0.0355067785668173,0.0822524224973255,0.2886751345948129,True,True
vg_scale_any,siglip,1,0.1032298491261249,0.2428461013922369,0.1110338311027196,0.3099871153258152,5.0671400903808905,0.0361523563589412,0.0907430064105033,0.2886751345948129,True,True
vg_scale_any,siglip,2,0.1110713113270088,0.2485276994673342,0.1511562952576848,0.3150478316482184,5.043899289864429,0.0406714009038089,0.0863816939695837,0.2886751345948129,True,True
visual_genome_m,siglip,0,0.1075732114772546,0.2493568244635452,0.1413943714187555,0.3104730742334444,4.392133492252682,0.035756853396901,0.0893956083020214,0.2886751345948129,True,True
visual_genome_m,siglip,1,0.102767213521896,0.2457988087130686,0.1152604638687306,0.2991251732436041,4.457687723480333,0.0309892729439809,0.0913294475918805,0.2886751345948129,True,True
visual_genome_m,siglip,2,0.0934001617977247,0.2437552389355454,0.1185203973804135,0.3104769825617727,4.389749702026221,0.034564958283671,0.0926828170611734,0.2886751345948129,True,True
caltech101_m,siglip2_l,0,0.1430211010433378,0.2399002603139217,0.1472409908777633,0.2813480556725694,2.898809523809524,0.0238095238095238,0.1138416399706655,0.2886751345948129,True,False
caltech101_m,siglip2_l,1,0.0886245171229044,0.2651606814925928,0.0807312493033066,0.323060399168246,2.857142857142857,0.0595238095238095,0.1334181161069158,0.2886751345948129,True,False
caltech101_m,siglip2_l,2,0.1183969520387195,0.2452380998381303,0.0595238095238095,0.2938822350205463,3.071428571428572,0.0178571428571428,0.1032093611226153,0.2886751345948129,True,True
coco_val,siglip2_l,0,0.079225068260925,0.2460466749687269,0.0835089872287023,0.3113790853061975,4.71010101010101,0.0323232323232323,0.1033553620711051,0.2886751345948129,True,True
coco_val,siglip2_l,1,0.0918135852524728,0.2476822182611162,0.1169246530444852,0.3060175613802484,4.679797979797979,0.0404040404040404,0.0900617713942665,0.2886751345948129,True,True
coco_val,siglip2_l,2,0.0985407151357091,0.2422743427591704,0.1039106147854914,0.3099236712462974,4.63939393939394,0.0393939393939393,0.088571597565791,0.2886751345948129,True,True
vg_box_large,siglip2_l,0,0.097308379014333,0.2499264262648175,0.1303201179881329,0.3157963805874478,5.533333333333333,0.0416666666666666,0.0763518325487773,0.2886751345948129,True,True
vg_box_large,siglip2_l,1,0.121385612487793,0.2410349629983584,0.1201635325824999,0.3115252543157768,5.501666666666667,0.0420833333333333,0.0783138966560363,0.2886751345948129,True,True
vg_box_large,siglip2_l,2,0.0974549047152201,0.2508316000327742,0.1390680341757924,0.316522247684316,5.501666666666667,0.0466666666666666,0.0763353276252746,0.2886751345948129,True,True
vg_scale_any,siglip2_l,0,0.1071194614649896,0.2354170419142978,0.0946151592756407,0.3123027490066046,5.039380245319561,0.0238863783085861,0.1063598533740694,0.2886751345948129,True,True
vg_scale_any,siglip2_l,1,0.1195526372393613,0.2356109872932165,0.1148010982851341,0.3021877944217276,5.061975468043899,0.0309877340219496,0.1011716298766196,0.2886751345948129,True,True
vg_scale_any,siglip2_l,2,0.1008124522350155,0.2471618686082308,0.131403438955989,0.3125868681728942,5.039380245319561,0.0367979341510652,0.101145385080247,0.2886751345948129,True,True
visual_genome_m,siglip2_l,0,0.1012954119419738,0.2506914359307248,0.1397949632759952,0.3152737841169579,4.444576877234804,0.0417163289630512,0.0975366462606294,0.2886751345948129,True,True
visual_genome_m,siglip2_l,1,0.0921275320865826,0.2497721138394166,0.1310282223034357,0.3141124082913969,4.430274135876043,0.035756853396901,0.0941895761515458,0.2886751345948129,True,True
visual_genome_m,siglip2_l,2,0.0931756905634155,0.2514181481114409,0.0937428931264304,0.3075298114935618,4.404052443384982,0.0417163289630512,0.0910346584797758,0.2886751345948129,True,True
