dataset,embedder,seed,trust_k10,trust_k50,cont_k10,shepard,purity_embedding,purity_layout,containment_core,containment_unit,noise,purity_drop
vg_box_large,clip_l,1,0.9435515943485788,0.9156963515130792,0.961587837158653,0.2701362507454184,0.5226333333333334,0.4894333333333334,0.8962242673561122,0.6627637965866425,0.269,0.03320000000000001
vg_box_large,clip_l,2,0.937591757413302,0.9177279671738758,0.961189635338136,0.29402580031644,0.5194333333333334,0.4883333333333333,0.8952791007214319,0.8259392517136387,0.0476666666666666,0.031100000000000128
vg_scale_any,clip_l,0,0.9362357290445076,0.903122575938907,0.9552562126542692,0.2678963082380078,0.3277249451353328,0.3158741770299927,0.8968464461140903,0.7085498436677065,0.2076666666666666,0.011850768105340082
vg_scale_any,clip_l,1,0.936965276148992,0.9049119917934688,0.956336069693416,0.2437079877403621,0.3339510748702742,0.3133432171979244,0.8935382365860748,0.6991611768534334,0.2143333333333333,0.020607857672349794
vg_scale_any,clip_l,2,0.9345424359189144,0.9046117125434548,0.9546466968224716,0.2365633258487807,0.3444950645406226,0.3410782080485953,0.8954939708965017,0.7054586897273397,0.226,0.0034168564920273314
visual_genome_m,clip_l,0,0.9354132685541968,0.8906859292186698,0.94638670910817,0.2384651169713519,0.8449333333333334,0.8262666666666667,0.8994020086376531,0.8964454698066445,0.0063333333333333,0.01866666666666672
visual_genome_m,clip_l,1,0.937205651421232,0.892562961189947,0.9430151002401296,0.2397238105828491,0.8482666666666667,0.8247999999999999,0.8944660272444243,0.6409461274627019,0.2816666666666667,0.023466666666666858
visual_genome_m,clip_l,2,0.9311108058301224,0.8884248315951444,0.9477860724856202,0.2443613984776432,0.8500333333333334,0.825,0.893990366331381,0.6407957183632563,0.2526666666666666,0.025033333333333463
caltech101_m,dinov3_patch,0,0.9942524900073269,0.8580993622598694,0.9946408803708352,0.2876794410551193,0.9954653937947494,0.998687350835322,0.8804564727860164,0.8550560192197115,0.026252983293556,-0.0032219570405725984
caltech101_m,dinov3_patch,1,0.994673089059927,0.8315632379983567,0.9951444675773118,0.3224649466215265,0.9954653937947494,0.998687350835322,0.8803194563073949,0.867472576202697,0.0143198090692124,-0.0032219570405725984
caltech101_m,dinov3_patch,2,0.9941860414505516,0.8597993974725145,0.9951256066332488,0.3143329519380241,0.9954653937947494,0.998329355608592,0.8811721589216444,0.8647938588591337,0.0167064439140811,-0.0028639618138426304
coco_val,dinov3_patch,0,0.9583744680851064,0.9066608605459624,0.966563779527559,0.1948922984814573,0.9299,0.9284333333333334,0.8937938614354766,0.7383165487792445,0.2003333333333333,0.0014666666666665051
coco_val,dinov3_patch,1,0.9575274138605014,0.9079736160027356,0.9675165912771542,0.1949011697292156,0.9278000000000002,0.9169666666666668,0.8949861420410142,0.7274889574896886,0.2173333333333333,0.010833333333333361
coco_val,dinov3_patch,2,0.9593183782878204,0.9142797834387644,0.968701211816608,0.1798776243638077,0.931,0.9246,0.8967690464134193,0.7579889907478298,0.1966666666666666,0.006400000000000072
