mode,schedule,mean,se,n,ci_hi,question
binary,pure_gmm,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,pure_xcal,0.002836803316453508,0.00012293815476483575,384,0.003077762099792586,q1d
binary,rare:lo=0:hi=16,0.00023858287327796173,0.00016714594815150433,384,0.0005661889316549102,q1d
binary,rare:lo=0:hi=32,-0.0012921874361879716,0.00014752333144144435,384,-0.0010030417065627407,q1d
binary,rare:lo=0:hi=4,0.002836803316453508,0.00012293815476483575,384,0.003077762099792586,q1d
binary,rare:lo=0:hi=64,-0.001229454884390077,0.00010431244321237742,384,-0.0010250024956938173,q1d
binary,rare:lo=0:hi=8,0.0027371950817040905,0.00012084808718117616,384,0.002974057332579196,q1d
binary,rare:lo=1:hi=16,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=16:cap=0.5,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=16:cap=0.8,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=32,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=32:cap=0.5,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=32:cap=0.8,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=4,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=4:cap=0.5,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=64,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=8,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=8:cap=0.5,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=1:hi=8:cap=0.8,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=2:hi=16,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=2:hi=32,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=2:hi=4,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=2:hi=64,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=2:hi=8,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=4:hi=16,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=4:hi=32,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=4:hi=64,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,rare:lo=4:hi=8,-4.814147472333206e-05,3.186754769531185e-05,384,1.4318918759479168e-05,q1d
binary,slow_cap50,-6.450981269422248e-05,4.2616634612355104e-05,384,1.9018791145993525e-05,q1d
region,cap50,0.0,0.0,288,0.0,q1d
region,cap80,0.0,0.0,288,0.0,q1d
region,corridor,0.0001438503079990919,6.46059435119584e-05,288,0.00027047795728253035,q1d
region,corridor:w=0.05,-6.529210279007121e-05,1.921214873439167e-05,288,-2.7636291270663538e-05,q1d
region,corridor:w=0.1,-8.835127612004975e-05,2.0851327448202397e-05,288,-4.748267432157306e-05,q1d
region,corridor:w=0.2,-0.0001060125486200293,2.477607272434573e-05,288,-5.7451446080311676e-05,q1d
region,corridor:w=0.3,-0.0001382951971840376,2.7736990229661787e-05,288,-8.39306963339005e-05,q1d
region,corridor:w=0.5,-0.00011632500310184287,3.832137492353215e-05,288,-4.121510825171986e-05,q1d
region,corridor:w=0.75,-2.882498587062793e-05,5.092645975561014e-05,288,7.099087525036795e-05,q1d
region,corridor_ramp,-3.77146026234568e-05,1.8790407680991638e-05,288,-8.854035687131859e-07,q1d
region,corridor_ramp:w=0.2,-3.736226851851852e-05,1.859846918826502e-05,288,-9.092689095190835e-07,q1d
region,corridor_ramp:w=0.5,-3.7581548996913575e-05,1.871334174595833e-05,288,-9.033991748352502e-07,q1d
region,prod,0.0,0.0,288,0.0,q1d
region,pure_gmm,-3.710334683641975e-05,1.846620959582492e-05,288,-9.0957602860291e-07,q1d
