env,mode,schedule,family,mean,se,n,improved,resolvable,weighting,question
coco_val / region,region,rare:lo=1:hi=32,rare,-0.014928922234398737,0.0025918956715658796,152,0.75,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=32:cap=0.5,rare,-0.01531974469928441,0.0025130683447618114,152,0.743421052631579,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=32:cap=0.8,rare,-0.015324382797304555,0.002553707152099706,152,0.756578947368421,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=4,rare,-0.006194739613270627,0.003388473416931589,152,0.6578947368421053,False,1:1,q2
coco_val / region,region,rare:lo=1:hi=4:cap=0.5,rare,-0.014161980322125293,0.002800943352227715,152,0.7302631578947368,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=64,rare,-0.01340126332542263,0.0024558591531566695,152,0.743421052631579,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=8,rare,-0.012708286650204178,0.0030550579545127435,152,0.7171052631578947,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=8:cap=0.5,rare,-0.015773289490618438,0.002738268067525405,152,0.75,True,1:1,q2
coco_val / region,region,rare:lo=1:hi=8:cap=0.8,rare,-0.014737123727513764,0.0029126385790442504,152,0.743421052631579,True,1:1,q2
coco_val / region,region,rare:lo=2:hi=16,rare,-0.014790968037855255,0.002791128303126326,152,0.756578947368421,True,1:1,q2
coco_val / region,region,rare:lo=2:hi=32,rare,-0.014475806764740034,0.0025715588932609455,152,0.743421052631579,True,1:1,q2
coco_val / region,region,rare:lo=2:hi=4,rare,-0.007922044631063664,0.0033428264426036557,152,0.6710526315789473,True,1:1,q2
coco_val / region,region,rare:lo=2:hi=64,rare,-0.013052289038535045,0.0024601314386013735,152,0.743421052631579,True,1:1,q2
coco_val / region,region,rare:lo=2:hi=8,rare,-0.01295032853036307,0.0030083298743728516,152,0.7236842105263158,True,1:1,q2
coco_val / region,region,rare:lo=4:hi=16,rare,-0.01380516000516494,0.002717518386949571,152,0.75,True,1:1,q2
coco_val / region,region,rare:lo=4:hi=32,rare,-0.013539260877519572,0.002552413298630577,152,0.743421052631579,True,1:1,q2
coco_val / region,region,rare:lo=4:hi=64,rare,-0.012282951511561238,0.0024545297648978903,152,0.756578947368421,True,1:1,q2
coco_val / region,region,rare:lo=4:hi=8,rare,-0.011802306075577456,0.0029403856585068972,152,0.7302631578947368,True,1:1,q2
coco_val / region,region,slow_cap50,reference,-0.015077078823990476,0.0027379998327040386,152,0.743421052631579,True,1:1,q2
visual_genome_m / binary,binary,cap50,reference,-0.010846903923852942,0.003939707206635448,136,0.5441176470588235,True,1:1,q2
visual_genome_m / binary,binary,cap80,reference,0.008314679124911285,0.004605124459747209,136,0.38235294117647056,False,1:1,q2
visual_genome_m / binary,binary,corridor,corridor,-0.0010400258686732494,0.004610393744094925,136,0.47794117647058826,False,1:1,q2
visual_genome_m / binary,binary,corridor:w=0.05,corridor,-0.00984654136518755,0.0023096465822704183,136,0.5955882352941176,True,1:1,q2
visual_genome_m / binary,binary,corridor:w=0.1,corridor,-0.010913302269862287,0.0024548358802583994,136,0.6102941176470589,True,1:1,q2
visual_genome_m / binary,binary,corridor:w=0.2,corridor,-0.011202747526663719,0.002742098617689936,136,0.6102941176470589,True,1:1,q2
visual_genome_m / binary,binary,corridor:w=0.3,corridor,-0.010736904233753106,0.00308811451238189,136,0.625,True,1:1,q2
visual_genome_m / binary,binary,corridor:w=0.5,corridor,-0.008874781575191865,0.0037081701153806415,136,0.5808823529411765,True,1:1,q2
visual_genome_m / binary,binary,corridor:w=0.75,corridor,-0.005276907350788579,0.004262836563205971,136,0.5220588235294118,False,1:1,q2
visual_genome_m / binary,binary,corridor_ramp,corridor,0.0013992065242155642,0.004383259590570431,136,0.4632352941176471,False,1:1,q2
visual_genome_m / binary,binary,corridor_ramp:w=0.2,corridor,-0.010209378867359753,0.0026983786805169015,136,0.5955882352941176,True,1:1,q2
visual_genome_m / binary,binary,corridor_ramp:w=0.5,corridor,-0.007012348046720163,0.003601323061461826,136,0.5661764705882353,False,1:1,q2
visual_genome_m / binary,binary,prod,reference,0.02536799066781449,0.0050493692666789824,136,0.27941176470588236,True,1:1,q2
visual_genome_m / binary,binary,pure_gmm,reference,-0.008197009211852416,0.002217909640668219,136,0.5661764705882353,True,1:1,q2
visual_genome_m / binary,binary,pure_xcal,reference,0.03330562923539661,0.005347891993780139,136,0.2647058823529412,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=0:hi=16,rare,-0.007523234236138256,0.004198883336446974,136,0.5735294117647058,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=0:hi=32,rare,-0.01022216819247905,0.0034617429855064528,136,0.6323529411764706,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=0:hi=4,rare,0.0223717247492806,0.005309022736711919,136,0.3161764705882353,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=0:hi=64,rare,-0.010644201083454645,0.0028182286406326553,136,0.6323529411764706,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=0:hi=8,rare,0.001467825021081468,0.00492814416164306,136,0.45588235294117646,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=16,rare,-0.007319003876351422,0.003971013399591914,136,0.5882352941176471,False,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=16:cap=0.5,rare,-0.015037988481754808,0.00322524938222474,136,0.6397058823529411,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=16:cap=0.8,rare,-0.01015644583724052,0.003658425686889444,136,0.6102941176470589,True,1:1,q2
visual_genome_m / binary,binary,rare:lo=1:hi=32,rare,-0.008430488254976505,0.003275323731818841,136,0.6176470588235294,True,1:1,q2
