n_cells,fp16,fp32,diff_fp32_minus_fp16,se,resolved_below_margin,resolvable_from_zero,metric,window,split,dataset,band
96,12.052611617875579,12.774878184880881,0.7222665670053013,0.4084273288476641,False,False,n_good,all,dataset+band,visual_genome_m,patch_to_leaf
24,10.645934639637357,10.548269938355423,-0.09766470128193427,0.4483095031440653,False,False,n_good,all,dataset+band,visual_genome_m,sub_patch
624,30.053041729512316,30.307912267471085,0.2548705379587734,0.33909641448675093,False,False,n_good,deep,pooled,,
312,37.06680492709904,36.60834590246355,-0.4584590246354951,0.5340757608118606,False,False,n_good,deep,dataset,coco_val,
312,23.03927853192559,24.007478632478634,0.9682001005530418,0.4149406948948147,False,True,n_good,deep,dataset,visual_genome_m,
192,30.71548202614379,31.257250816993462,0.5417687908496731,0.7016328991213716,False,False,n_good,deep,band,,above_4x
192,37.959150326797385,38.31729983660131,0.3581495098039215,0.6227402416596615,False,False,n_good,deep,band,,leaf_to_4x
192,23.018790849673206,23.674938725490193,0.6561478758169935,0.4827710963723552,False,False,n_good,deep,band,,patch_to_leaf
48,23.915849673202615,21.004901960784313,-2.910947712418301,1.2184787547664406,False,True,n_good,deep,band,,sub_patch
96,30.38480392156863,29.968341503267975,-0.4164624183006537,1.0061437679779983,False,False,n_good,deep,dataset+band,coco_val,above_4x
96,55.139501633986924,55.26450163398693,0.12499999999999996,1.1215799354765872,False,False,n_good,deep,dataset+band,coco_val,leaf_to_4x
96,26.88214869281046,27.092933006535944,0.21078431372549025,0.6183345342136336,False,False,n_good,deep,dataset+band,coco_val,patch_to_leaf
24,32.24264705882353,26.605392156862745,-5.637254901960784,2.2384287135412606,False,True,n_good,deep,dataset+band,coco_val,sub_patch
96,31.04616013071895,32.54616013071895,1.5,0.9735825168400795,False,False,n_good,deep,dataset+band,visual_genome_m,above_4x
96,20.778799019607842,21.37009803921568,0.591299019607843,0.5479963626709828,False,False,n_good,deep,dataset+band,visual_genome_m,leaf_to_4x
96,19.155433006535947,20.256944444444443,1.1015114379084967,0.7420680972168561,False,False,n_good,deep,dataset+band,visual_genome_m,patch_to_leaf
24,15.589052287581701,15.404411764705884,-0.184640522875817,0.6410742178553939,False,False,n_good,deep,dataset+band,visual_genome_m,sub_patch
