dataset,embedder,category,seed,style,first_divergence_t
visual_genome_m,siglip+dinov3_patch,clock,3,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,4,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,5,max_patch,6
visual_genome_m,siglip+dinov3_patch,clock,6,max_patch,3
visual_genome_m,siglip+dinov3_patch,clock,7,max_patch,4
visual_genome_m,siglip+dinov3_patch,clock,8,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,9,max_patch,6
visual_genome_m,siglip+dinov3_patch,clock,10,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,11,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,12,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,13,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,14,max_patch,7
visual_genome_m,siglip+dinov3_patch,clock,15,max_patch,6
visual_genome_m,siglip+dinov3_patch,clock,16,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,17,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,18,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,19,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,20,max_patch,4
visual_genome_m,siglip+dinov3_patch,clock,21,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,22,max_patch,5
visual_genome_m,siglip+dinov3_patch,clock,23,max_patch,2
visual_genome_m,siglip+dinov3_patch,elephant,0,max_patch,6
visual_genome_m,siglip+dinov3_patch,elephant,1,max_patch,6
visual_genome_m,siglip+dinov3_patch,elephant,2,max_patch,12
visual_genome_m,siglip+dinov3_patch,elephant,3,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,4,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,5,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,6,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,7,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,8,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,9,max_patch,4
visual_genome_m,siglip+dinov3_patch,elephant,10,max_patch,6
visual_genome_m,siglip+dinov3_patch,elephant,11,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,12,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,13,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,14,max_patch,6
visual_genome_m,siglip+dinov3_patch,elephant,15,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,16,max_patch,5
visual_genome_m,siglip+dinov3_patch,elephant,17,max_patch,3
visual_genome_m,siglip+dinov3_patch,elephant,18,max_patch,6
visual_genome_m,siglip+dinov3_patch,elephant,19,max_patch,6
visual_genome_m,siglip+dinov3_patch,elephant,20,max_patch,5
