arm,env,inclusion_k,n_cells,n_steps,d_regret,ci_lo,ci_hi,win_rate,d_regret_cost
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,1,74,14782,-0.00596573191334657,-0.008385558660174375,-0.003321483135840862,0.7283858747124882,-0.011931464076042175
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,1,74,14782,-0.004251394038186157,-0.006236198453847759,-0.002130893654179385,0.693952103910161,-0.008502787910401821
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,1,74,14782,0.0005641990851349751,-0.0013797400996466151,0.002421048232094649,0.4465566229197673,0.0011283982312306762
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,1,74,14782,0.00387957560702194,-0.007809962607159439,0.019814781381765453,0.6985522933297253,0.007759151514619589
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,1,74,14782,0.0052813866878086875,0.002497396632379851,0.007698412616688271,0.18799891760248952,0.010562772862613201
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,1,74,14782,0.01147976504777231,0.005813318917864456,0.016205033444330674,0.16283317548369639,0.022959530353546143
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,2,74,14782,-0.005291615724500672,-0.011151305913085092,0.0005484985047636696,0.6874577188472466,-0.02116646245121956
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,2,74,14782,-0.00523917971027864,-0.01132615466865261,0.0018349905576591473,0.7021377350832093,-0.020956721156835556
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,2,74,14782,-0.004483058724380916,-0.011386260292100495,0.0034208951194896853,0.7002435394398593,-0.017932232469320297
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,2,74,14782,-0.004180723160381014,-0.008011971617457134,-0.00039415822850207916,0.618522527398187,-0.016722893342375755
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,2,74,14782,-0.0027793681591582434,-0.010138004496965967,0.00501475001195079,0.6858341225815181,-0.011117473244667053
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,2,74,14782,0.0012999000212624418,-0.001669654065468372,0.003508033693548427,0.18495467460424841,0.00519960094243288
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,2,74,14782,0.004011000206692434,-0.005916332298014872,0.015283378045446496,0.6906372615342985,0.016044002026319504
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,2,74,14782,0.004583530810467326,-0.0010213691055592003,0.009871769051779986,0.305100798268164,0.018334122374653816
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,3,74,14782,-0.007886124372374537,-0.012839252097839218,-0.0024307370575091204,0.7164118522527398,-0.06308899819850922
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,3,74,14782,-0.005482214505153368,-0.01444169470869383,0.00450086774055946,0.7082262210796915,-0.043857723474502563
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,3,74,14782,-0.0029165948350006097,-0.006170384581592599,0.0005357124821711222,0.5995129211202814,-0.023332757875323296
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,3,74,14782,-0.002162809970212874,-0.013044898249810668,0.010114462503259196,0.6919226085780003,-0.017302483320236206
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,3,74,14782,0.00018946567119250226,-0.010756371320226084,0.013748690169764745,0.6852252739818698,0.0015157207380980253
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,3,74,14782,0.001547811595013922,0.0007372640893479272,0.0022203038730871454,0.13239074550128535,0.012382492423057556
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,3,74,14782,0.0023381374593481196,-0.009084785060823943,0.015401306865154568,0.7147206061426059,0.01870509795844555
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,3,74,14782,0.004156246202418933,-0.008901483622321394,0.018396878658008847,0.6576241374644838,0.03324996307492256
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,4,74,14782,-0.005949959223479205,-0.010178470864109024,-0.0010170996232984502,0.7331213638208632,-0.0951993465423584
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,4,74,14782,-0.0032374533765431733,-0.005623879964730657,-0.0006362123518286107,0.708496820457313,-0.05179925635457039
fold_anchored_w0.3_q_tilt_qmean_s0.02,coco_val/dinov3_patch/max_patch,4,74,14782,0.0003335970252649261,-0.00830185814227514,0.010165401227893209,0.6948315518874306,0.0053375535644590855
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,4,74,14782,0.0009268880348581415,0.0005599698152456915,0.001207628734991394,0.11202814233527263,0.01483020931482315
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,4,74,14782,0.0032399862424967608,-0.007321584220748313,0.016157922506160525,0.734406710864565,0.05183977261185646
fold_anchored_w0.3_q_tilt_qmean_s0.01,coco_val/dinov3_patch/max_patch,4,74,14782,0.006576211413532193,-0.005748749259352759,0.021531556208336383,0.6708158571235286,0.10521937906742096
fold_anchored_w0.3_q_tilt_qmean_s0.005,coco_val/dinov3_patch/max_patch,4,74,14782,0.010279671940323268,-0.0034805188563532775,0.02586607962588754,0.6500473548910838,0.164474755525589
fold_anchored_w0.3_mid_qmean,coco_val/dinov3_patch/max_patch,4,74,14782,0.016536379983802828,0.001987452549036715,0.033845332080248196,0.5957921796779867,0.2645820677280426
fold_anchored_w0.3_q_tilt_qmean_s0.08,coco_val/dinov3_patch/max_patch,6,74,14782,-0.0010499922621395829,-0.0026014139742344283,0.0006342147505681674,0.7741848193749155,-0.06719951331615448
fold_anchored_w0.3_rate_qmean,coco_val/dinov3_patch/max_patch,6,74,14782,7.370110028039169e-05,-0.0001489652583457526,0.000240575823884159,0.10140711676363144,0.004716870840638876
fold_anchored_w0.3_q_tilt_qmean_s0.04,coco_val/dinov3_patch/max_patch,6,74,14782,0.0020676189793645077,-0.0017436034217885085,0.006550832746703431,0.7084291706129076,0.132327601313591
fold_anchored_w0.3_cross_tilt_qmean,coco_val/dinov3_patch/max_patch,6,74,14782,0.006362012939486728,-0.0013707641292303623,0.017071508296932134,0.7693140305777296,0.4071688652038574
