size,level,a,b,metric,mean,se,n,n_clusters,condition
8.0,0.0,svm_hinge,svm,test_oracle_cost,-0.014791000824122479,0.002126550641247257,478,96,misvote
8.0,1.0,svm_hinge,svm,test_oracle_cost,-0.017548167921077433,0.002659343110674813,478,96,misvote
16.0,0.0,svm_hinge,svm,test_oracle_cost,-0.021992140396796537,0.003111668352910122,408,88,misvote
16.0,1.0,svm_hinge,svm,test_oracle_cost,-0.020793035893025235,0.0030688498425977327,408,88,misvote
4.0,0.0,svm_C0.1,svm,test_ap,0.005569599361827807,0.0014469788123704277,480,96,misvote
4.0,1.0,svm_C0.1,svm,test_ap,0.0034265694623710624,0.001464792810774839,480,96,misvote
8.0,0.0,svm_C0.1,svm,test_ap,0.007028514483635895,0.002134295048411665,478,96,misvote
8.0,1.0,svm_C0.1,svm,test_ap,0.004448670858873451,0.0021103764737474867,478,96,misvote
16.0,0.0,svm_C0.1,svm,test_ap,0.00925833304247818,0.003204697904444188,408,88,misvote
16.0,1.0,svm_C0.1,svm,test_ap,0.005800977002621358,0.00312174146749131,408,88,misvote
4.0,0.0,svm_C0.1,svm,test_auroc,0.006951856832038185,0.0011250660022320415,480,96,misvote
4.0,1.0,svm_C0.1,svm,test_auroc,0.006599788994863404,0.0011129625792738436,480,96,misvote
8.0,0.0,svm_C0.1,svm,test_auroc,0.009733754794239992,0.0013674445334622425,478,96,misvote
8.0,1.0,svm_C0.1,svm,test_auroc,0.01038934284184719,0.0014796855439858064,478,96,misvote
16.0,0.0,svm_C0.1,svm,test_auroc,0.01451471977419685,0.0022719133241705203,408,88,misvote
16.0,1.0,svm_C0.1,svm,test_auroc,0.0144554553066548,0.0021731322403494464,408,88,misvote
4.0,0.0,svm_C0.1,svm,test_oracle_cost,-0.012587385917582013,0.0019509729721643816,480,96,misvote
4.0,1.0,svm_C0.1,svm,test_oracle_cost,-0.011413633431596303,0.0018641826571304538,480,96,misvote
8.0,0.0,svm_C0.1,svm,test_oracle_cost,-0.015897096530232146,0.0023565987156775724,478,96,misvote
8.0,1.0,svm_C0.1,svm,test_oracle_cost,-0.016941121371063118,0.0025789127887542924,478,96,misvote
16.0,0.0,svm_C0.1,svm,test_oracle_cost,-0.02619496147895112,0.003850252932608399,408,88,misvote
16.0,1.0,svm_C0.1,svm,test_oracle_cost,-0.025311001101596557,0.003702281740540137,408,88,misvote
,1.0,svm,lr,test_ap,-0.0004084047458920899,0.001491716953077899,478,96,ratio
,4.0,svm,lr,test_ap,0.002504773095738223,0.0014833623341510799,478,96,ratio
,16.0,svm,lr,test_ap,-0.005882287596191453,0.0028137396288096172,478,96,ratio
,1.0,svm,lr,test_auroc,0.005362312728529984,0.0009196648072198006,478,96,ratio
,4.0,svm,lr,test_auroc,0.0034603106192927875,0.0009417393605986118,478,96,ratio
,16.0,svm,lr,test_auroc,-0.007819501853756508,0.0016299291116604457,478,96,ratio
,1.0,svm,lr,test_oracle_cost,-0.00828899529119515,0.0018436710908901824,478,96,ratio
,4.0,svm,lr,test_oracle_cost,-0.004660585976871096,0.0017294495615469846,478,96,ratio
,16.0,svm,lr,test_oracle_cost,0.015610779257679388,0.003077017782700199,478,96,ratio
,1.0,svm,lrconv_C1,test_ap,-0.01029724461669068,0.0015417921864838246,478,96,ratio
,4.0,svm,lrconv_C1,test_ap,-0.006335505581405523,0.0018881604422395688,478,96,ratio
,16.0,svm,lrconv_C1,test_ap,-0.015181001360473748,0.002925499554986355,478,96,ratio
,1.0,svm,lrconv_C1,test_auroc,-0.006530640448893755,0.0011959938558973155,478,96,ratio
,4.0,svm,lrconv_C1,test_auroc,-0.010088983782086587,0.001454328008119803,478,96,ratio
,16.0,svm,lrconv_C1,test_auroc,-0.02140758452542471,0.002428375237090905,478,96,ratio
,1.0,svm,lrconv_C1,test_oracle_cost,0.012201458068675296,0.0018041854899285823,478,96,ratio
,4.0,svm,lrconv_C1,test_oracle_cost,0.017363063836450306,0.0024489978304625803,478,96,ratio
,16.0,svm,lrconv_C1,test_oracle_cost,0.03650555108234247,0.004120288402026939,478,96,ratio
,1.0,lrconv_C1,lr,test_ap,0.009888839870798593,0.002078660285311146,478,96,ratio
,4.0,lrconv_C1,lr,test_ap,0.008840278677143746,0.001776664183794367,478,96,ratio
,16.0,lrconv_C1,lr,test_ap,0.009298713764282294,0.0016694968564116483,478,96,ratio
,1.0,lrconv_C1,lr,test_auroc,0.01189295317742374,0.0016226744927655004,478,96,ratio
,4.0,lrconv_C1,lr,test_auroc,0.013549294401379376,0.0016475171000853875,478,96,ratio
,16.0,lrconv_C1,lr,test_auroc,0.0135880826716682,0.0015487533006105867,478,96,ratio
,1.0,lrconv_C1,lr,test_oracle_cost,-0.020490453359870448,0.0027961064130461698,478,96,ratio
,4.0,lrconv_C1,lr,test_oracle_cost,-0.0220236498133214,0.0028738504058722623,478,96,ratio
,16.0,lrconv_C1,lr,test_oracle_cost,-0.020894771824663084,0.0025336501758042333,478,96,ratio
,1.0,svm_hinge,svm,test_ap,0.010636080177643241,0.001797326535514496,478,96,ratio
,4.0,svm_hinge,svm,test_ap,0.006604296624098201,0.0014231600819487138,478,96,ratio
,16.0,svm_hinge,svm,test_ap,0.0012629005132503556,0.0015809614102096528,478,96,ratio
,1.0,svm_hinge,svm,test_auroc,0.0071704712607208706,0.0015069897707219904,478,96,ratio
,4.0,svm_hinge,svm,test_auroc,0.007403628517783867,0.0012102485019299166,478,96,ratio
,16.0,svm_hinge,svm,test_auroc,0.003949929206903841,0.0007647671345143629,478,96,ratio
,1.0,svm_hinge,svm,test_oracle_cost,-0.012923136815289166,0.0022454213844035433,478,96,ratio
,4.0,svm_hinge,svm,test_oracle_cost,-0.013777590576688054,0.0021868768425278833,478,96,ratio
,16.0,svm_hinge,svm,test_oracle_cost,-0.007657616859412969,0.0012993450529065174,478,96,ratio
,1.0,svm_C0.1,svm,test_ap,0.008478388713379725,0.0015660874251842186,478,96,ratio
,4.0,svm_C0.1,svm,test_ap,0.00403071664164902,0.0019107498157110445,478,96,ratio
,16.0,svm_C0.1,svm,test_ap,0.013822325671799173,0.0028696318286478726,478,96,ratio
,1.0,svm_C0.1,svm,test_auroc,0.0057976430200686515,0.0011687349898757474,478,96,ratio
,4.0,svm_C0.1,svm,test_auroc,0.0083614232628064,0.0014116592731041554,478,96,ratio
,16.0,svm_C0.1,svm,test_auroc,0.01991436284903777,0.00233737012794379,478,96,ratio
,1.0,svm_C0.1,svm,test_oracle_cost,-0.010676507151389455,0.0017700359804688464,478,96,ratio
,4.0,svm_C0.1,svm,test_oracle_cost,-0.014396294090495466,0.0023309138019332854,478,96,ratio
,16.0,svm_C0.1,svm,test_oracle_cost,-0.03401891274134574,0.003986700825601041,478,96,ratio
4.0,,svm,lr,test_ap,0.021734446013610246,0.006191414460595389,95,19,scale_raw
8.0,,svm,lr,test_ap,0.01051699444896654,0.004092010182370899,95,19,scale_raw
16.0,,svm,lr,test_ap,-5.893145629046981e-05,0.006307964903652698,88,19,scale_raw
32.0,,svm,lr,test_ap,-0.02315642966844716,0.005934394759575653,75,15,scale_raw
4.0,,svm,lr,test_auroc,0.02140070109445285,0.004695965400446772,95,19,scale_raw
8.0,,svm,lr,test_auroc,0.009830313172072017,0.002594734746210345,95,19,scale_raw
16.0,,svm,lr,test_auroc,0.003708399812445662,0.0020210671302965198,88,19,scale_raw
32.0,,svm,lr,test_auroc,-0.006535042428397991,0.002118603422887662,75,15,scale_raw
4.0,,svm,lr,test_oracle_cost,-0.03921083309715885,0.008822763394625684,95,19,scale_raw
8.0,,svm,lr,test_oracle_cost,-0.018483158498035366,0.004708385536557589,95,19,scale_raw
16.0,,svm,lr,test_oracle_cost,-0.00600500518839405,0.0069262325754516005,88,19,scale_raw
32.0,,svm,lr,test_oracle_cost,0.018506079070350484,0.004679530247666713,75,15,scale_raw
4.0,,svm,lrconv_C1,test_ap,-0.038957181957716525,0.006858318559491024,95,19,scale_raw
8.0,,svm,lrconv_C1,test_ap,-0.030912530039615242,0.006590670510450022,95,19,scale_raw
16.0,,svm,lrconv_C1,test_ap,-0.03538846440920643,0.006707819528328695,88,19,scale_raw
32.0,,svm,lrconv_C1,test_ap,-0.038171957676780985,0.008426360103476298,75,15,scale_raw
4.0,,svm,lrconv_C1,test_auroc,-0.018883170604676102,0.00491114110087415,95,19,scale_raw
8.0,,svm,lrconv_C1,test_auroc,-0.017173710457353684,0.0038642675104374274,95,19,scale_raw
16.0,,svm,lrconv_C1,test_auroc,-0.013241578778803253,0.00320597319930788,88,19,scale_raw
32.0,,svm,lrconv_C1,test_auroc,-0.01398302167894851,0.0037271392550157654,75,15,scale_raw
4.0,,svm,lrconv_C1,test_oracle_cost,0.0359666478766635,0.00859860267356156,95,19,scale_raw
8.0,,svm,lrconv_C1,test_oracle_cost,0.03613161166834356,0.008454524236450276,95,19,scale_raw
16.0,,svm,lrconv_C1,test_oracle_cost,0.029751168047302125,0.0064265032101650365,88,19,scale_raw
32.0,,svm,lrconv_C1,test_oracle_cost,0.03301529745023496,0.007672922384496394,75,15,scale_raw
4.0,,lrconv_C1,lr,test_ap,0.060691627971326774,0.009758818213653202,95,19,scale_raw
8.0,,lrconv_C1,lr,test_ap,0.04142952448858178,0.0066466026179446335,95,19,scale_raw
16.0,,lrconv_C1,lr,test_ap,0.035329532952915965,0.007613768810694066,88,19,scale_raw
32.0,,lrconv_C1,lr,test_ap,0.01501552800833382,0.0037770788215394143,75,15,scale_raw
4.0,,lrconv_C1,lr,test_auroc,0.040283871699128955,0.007610278495070988,95,19,scale_raw
8.0,,lrconv_C1,lr,test_auroc,0.027004023629425687,0.005774644397529204,95,19,scale_raw
16.0,,lrconv_C1,lr,test_auroc,0.016949978591248915,0.0037825043054568633,88,19,scale_raw
32.0,,lrconv_C1,lr,test_auroc,0.007447979250550518,0.0018762473622379041,75,15,scale_raw
4.0,,lrconv_C1,lr,test_oracle_cost,-0.07517748097382235,0.012771232621928943,95,19,scale_raw
8.0,,lrconv_C1,lr,test_oracle_cost,-0.05461477016637893,0.010697024667427972,95,19,scale_raw
16.0,,lrconv_C1,lr,test_oracle_cost,-0.03575617323569618,0.00914400650816615,88,19,scale_raw
32.0,,lrconv_C1,lr,test_oracle_cost,-0.01450921837988447,0.003843484163620783,75,15,scale_raw
4.0,,svm,lr,test_ap,0.01056069460916715,0.00373440691662883,95,19,scale_unit
8.0,,svm,lr,test_ap,0.003563573900033391,0.004602464030734442,95,19,scale_unit
