size,arm,active_frac,wnorm,cos_svm,cos_lrconv1,cos_centroid,train_auroc
8,lr_unbal,0.39492677824267786,4.80809772226937,0.6470797197053992,0.6222965565465307,0.6108718396996254,0.9955707374476988
8,lr_zeroinit,0.8861924686192469,5.363429848392108,0.7678097844996157,0.7561999751615741,0.742011239058118,0.9993952667364017
8,lrconv_C0.01,1.0,0.03491587311575662,0.937090578970838,0.9952892362726331,0.9999991157264906,0.9892945868200836
8,lrconv_C0.1,1.0,0.33625632044720033,0.9406715050071074,0.996348305507141,0.9999152353210727,0.9906184623430963
8,lrconv_C1,0.9790271966527198,2.531808574798794,0.9640228422017104,1.0,0.9951604114638616,0.9966249346234309
8,lrconv_C10,0.14126569037656905,9.876071766028234,0.9949485171502467,0.977835948732344,0.954259535964523,0.9999836558577406
8,lrconv_C100,0.0018828451882845188,21.84715909547161,0.9875759819082389,0.9354620519281382,0.9023606577005122,1.0
8,mlp,,,,,,0.9993298901673641
8,ridge_a0.1,0.8786087866108787,6.106387396338996,0.970550338508051,0.8917628438271361,0.8522667635959708,1.0
8,ridge_a1,0.9994769874476988,2.927144248349121,0.991640911988279,0.9876224018214561,0.9682177478289481,0.9997139775104602
8,ridge_a10,1.0,0.6011249113269704,0.9507626109610035,0.9987011642749302,0.9988652655944236,0.9933561061715481
8,svm,0.9874476987447699,3.9359841428576297,1.0,0.9640228422017104,0.9366784844540847,0.9999754837866108
8,svm_C0.01,1.0,0.13390759786217285,0.9435243022294697,0.9950568434168526,0.9986078584085034,0.9904468488493724
8,svm_C0.1,1.0,1.0466161310632769,0.9650721058498232,0.9964888267919774,0.9925576620212967,0.9958731040794979
8,svm_C10,0.8147489539748953,6.783504847681019,0.9650864794738335,0.8786392730698032,0.8387175612820668,1.0
8,svm_C100,0.7549163179916318,7.694861766166817,0.9433071989354895,0.8487683836385665,0.8075369637668991,1.0
8,svm_hinge,0.7667364016736402,4.670248105510952,0.9762568021166222,0.9756919545033887,0.9604252742827679,0.99609375
8,svm_unbal,0.963336820083682,3.2878659674108928,0.9946779454226072,0.9530509528995075,0.9264456514603181,0.9999264513598326
16,centroid,1.0,0.28154824340527657,0.8831559026342327,0.986908148631801,1.0,0.960848939185049
16,lr,0.9386642156862746,5.4719499484762375,0.7522606244224442,0.7554927371238529,0.7305570122417939,0.9929558249080882
16,lr_ep2000,0.019669117647058823,25.362810121559473,0.8463274726897941,0.7424720791735577,0.6787512643250032,1.0
16,lr_nosmooth,0.9297487745098039,5.536400104295147,0.7484001064822263,0.7553644209504552,0.7321936423569396,0.9919289981617647
