window,env,arm,metric,mean,se,n,n_clusters,frac_ref_better
t10,coco_val/siglip,linconv,fpr,-0.03585369473684211,0.01686735802492906,95,19,0.35789473684210527
t10,coco_val/siglip,linconv,n_good,-0.021052631578947368,0.07318124075303233,95,19,0.14736842105263157
t10,coco_val/siglip,svmc01,cost,0.00836676842105263,0.009959899824741809,95,19,0.6
t10,coco_val/siglip,svmc01,oracle_cost,-0.005770336842105262,0.006209797804753287,95,19,0.4421052631578947
t10,coco_val/siglip,svmc01,regret,0.014137221052631583,0.008329133445023234,95,19,0.6736842105263158
t10,coco_val/siglip,svmc01,average_precision,0.0004987578947368367,0.011316845077937142,95,19,0.4842105263157895
t10,coco_val/siglip,svmc01,auroc,-0.0033137052631578997,0.003378238246400468,95,19,0.5368421052631579
t10,coco_val/siglip,svmc01,f1,-0.03070237894736842,0.014106388567856187,95,19,0.631578947368421
t10,coco_val/siglip,svmc01,fnr,-0.010980221052631578,0.007139476092428725,95,19,0.22105263157894736
t10,coco_val/siglip,svmc01,fpr,0.01934713684210526,0.010838341133423359,95,19,0.5789473684210527
t10,coco_val/siglip,svmc01,n_good,0.1368421052631579,0.06498336553491975,95,19,0.08421052631578947
t10,coco_val/siglip,svmc10,cost,-0.010613326315789477,0.009931069331306025,95,19,0.4631578947368421
t10,coco_val/siglip,svmc10,oracle_cost,0.007357494736842105,0.004789192314655242,95,19,0.4842105263157895
t10,coco_val/siglip,svmc10,regret,-0.017970726315789474,0.009189995335180211,95,19,0.43157894736842106
t10,coco_val/siglip,svmc10,average_precision,-0.0003120631578947457,0.006316445024025203,95,19,0.4631578947368421
t10,coco_val/siglip,svmc10,auroc,-0.00585166315789474,0.002236681073347732,95,19,0.5263157894736842
t10,coco_val/siglip,svmc10,f1,0.001139684210526312,0.016774854459290136,95,19,0.4631578947368421
t10,coco_val/siglip,svmc10,fnr,0.0055572736842105265,0.008166708591417063,95,19,0.3684210526315789
t10,coco_val/siglip,svmc10,fpr,-0.016170515789473688,0.01154763190093995,95,19,0.42105263157894735
t10,coco_val/siglip,svmc10,n_good,-0.021052631578947368,0.050482437087502316,95,19,0.10526315789473684
t10,coco_val/siglip2_l,linear,cost,0.00013287368421052365,0.012925047836595994,95,19,0.5052631578947369
t10,coco_val/siglip2_l,linear,oracle_cost,0.013287494736842107,0.009809107759799617,95,19,0.5578947368421052
t10,coco_val/siglip2_l,linear,regret,-0.013154663157894734,0.00867212086627663,95,19,0.4105263157894737
t10,coco_val/siglip2_l,linear,average_precision,0.003609831578947367,0.008430608109860752,95,19,0.4421052631578947
t10,coco_val/siglip2_l,linear,auroc,-0.0067707263157894704,0.003951905061133552,95,19,0.5473684210526316
