condition,size,level,arm,test_ap,test_auroc,test_oracle_cost
misvote,16,1.0,lr,0.5554123487925334,0.879447010039742,0.3032428679687514
misvote,16,1.0,lr_nosmooth,0.5553407516597955,0.8798170094272837,0.3026251123433269
misvote,16,1.0,lr_zeroinit,0.5559169815279509,0.8800505720843658,0.30279641381976513
misvote,16,1.0,lrconv_C0.1,0.5560854278064228,0.891792065128756,0.28185159628912676
misvote,16,1.0,lrconv_C1,0.5632137548463069,0.8916080557519578,0.2812566891731876
misvote,16,1.0,lrconv_C10,0.5594834602194909,0.8807317155174208,0.30080364977636515
misvote,16,1.0,lrconv_C100,0.542555085788035,0.865863140279844,0.32729832856014085
misvote,16,1.0,ridge_a1,0.5635080005236672,0.8846589011935018,0.2933579822429545
misvote,16,1.0,svm,0.5553492334042104,0.876354115853072,0.30819959919926143
misvote,16,1.0,svm_C0.1,0.5611502104068318,0.8908095711597268,0.28288859809766487
misvote,16,1.0,svm_C10,0.5214720421711244,0.8514363481434611,0.35406503421642427
misvote,16,1.0,svm_hinge,0.5635215154195339,0.8869338142430121,0.2874065633062362
noise,8,0.0,centroid,0.5593705514462084,0.8749080272870088,0.2968485628384454
noise,8,0.0,lr,0.5535978960039906,0.8615437207558218,0.32098669276584013
noise,8,0.0,lr_nosmooth,0.5540304702558358,0.8620149305138357,0.31989881943702225
noise,8,0.0,lr_zeroinit,0.5543135040993122,0.862326430154349,0.31996695647881485
noise,8,0.0,lrconv_C0.1,0.559797113900848,0.8748880910274465,0.2971443271171429
noise,8,0.0,lrconv_C1,0.5617480220207485,0.8741342898193386,0.29922806123473517
noise,8,0.0,lrconv_C10,0.5575207372849088,0.8669787181760127,0.31354734489818525
noise,8,0.0,lrconv_C100,0.5451813706232698,0.8569008232614941,0.33169013333561137
noise,8,0.0,ridge_a1,0.5604057506557137,0.8697894760615068,0.30751588751276665
noise,8,0.0,svm,0.5541702986173439,0.8634411368415483,0.3198022220950184
noise,8,0.0,svm_C0.1,0.5594607620176114,0.8727178738239207,0.3017168595567021
noise,8,0.0,svm_C10,0.5288122056779087,0.8438194480303701,0.3546833361320955
noise,8,0.0,svm_hinge,0.5628232181020533,0.8716344155444891,0.30390455211212797
noise,8,0.05,centroid,0.5321480811601185,0.8587744228123297,0.32477625041634645
noise,8,0.05,lr,0.5200008412971138,0.8442523822288687,0.35171118833868004
noise,8,0.05,lr_nosmooth,0.521172958675343,0.8447226625230385,0.3504481179882991
noise,8,0.05,lr_zeroinit,0.5206799924883408,0.8448993607950888,0.35105193326463013
noise,8,0.05,lrconv_C0.1,0.5322246730130346,0.8587280008082865,0.32516536313997607
noise,8,0.05,lrconv_C1,0.5313887978750513,0.8578337513378147,0.32782124181688566
noise,8,0.05,lrconv_C10,0.5167034456599303,0.8499318058393118,0.3459826523651854
noise,8,0.05,lrconv_C100,0.49208752399937095,0.8387438219271658,0.3680065068600851
noise,8,0.05,ridge_a1,0.523281808886239,0.8532540262075694,0.3392028344816176
noise,8,0.05,svm,0.5113643050828378,0.8466949677773086,0.3523748374388218
noise,8,0.05,svm_C0.1,0.5291177350445679,0.8562869243817011,0.3304969574084943
noise,8,0.05,svm_C10,0.4655016720569793,0.8255623454926908,0.3932214521358148
noise,8,0.05,svm_hinge,0.5278293488337047,0.8558604629313421,0.33190160242065636
noise,8,0.1,centroid,0.5032071894605656,0.8418452356636469,0.35071795331086986
noise,8,0.1,lr,0.48367407999888307,0.827765294628003,0.38077350741591676
noise,8,0.1,lr_nosmooth,0.4857269652604677,0.8283247536459344,0.37918310324108545
