window,scope,arm,ref,isolates,metric,ref_mean,arm_mean,mean,se,n,n_clusters,frac_arm_better,frac_tied
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",oracle_cost,0.2207378827838828,0.2303878315018315,0.00964994871794872,0.004781073041428166,273,138,0.43956043956043955,0.007326007326007326
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",regret,0.13095921245421246,0.13371206227106225,0.0027528498168498177,0.0047495950498628444,273,138,0.4981684981684982,0.0
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",average_precision,0.44746906593406593,0.45657863003663,0.009109564102564104,0.004321270335379331,273,138,0.43956043956043955,0.0
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",auroc,0.9228386336996338,0.9144422380952382,-0.008396395604395607,0.0033317282991223965,273,138,0.43956043956043955,0.0
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",f1,0.03630324908424908,0.04958551648351649,0.0132822673992674,0.004938589279101428,273,138,0.41025641025641024,0.0
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",fnr,0.08563226007326007,0.09088323443223444,0.005250974358974359,0.007722989007185266,273,138,0.23076923076923078,0.48717948717948717
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",fpr,0.2660648278388278,0.2732166923076923,0.007151864468864466,0.007563522525821646,273,138,0.4065934065934066,0.0
t50,coco_better/siglip2_l,gp_rbf_gmm,app_gmm,"head, at the GMM-midpoint cut",n_good,2.937728937728938,3.6996336996337,0.7619047619047619,0.08469682848870758,273,138,0.46886446886446886,0.5018315018315018
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),cost,0.33255890476190475,0.3180132893772894,-0.014545615384615388,0.01348169831657362,273,138,0.43223443223443225,0.003663003663003663
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),oracle_cost,0.20716666300366302,0.21189878388278388,0.004732120879120879,0.0037391066296927266,273,138,0.3772893772893773,0.0695970695970696
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),regret,0.12539230036630034,0.10611452014652016,-0.019277780219780223,0.012762187832556697,273,138,0.43223443223443225,0.003663003663003663
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),average_precision,0.5387482087912088,0.4859366776556776,-0.05281153113553114,0.006735603012657285,273,138,0.2271062271062271,0.06227106227106227
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),auroc,0.9246807216117217,0.9244639706959707,-0.00021675091575091708,0.001786645241733771,273,138,0.336996336996337,0.06227106227106227
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),f1,0.41040734432234427,0.045777454212454216,-0.3646298901098901,0.024577434876169337,273,138,0.08058608058608059,0.003663003663003663
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),fnr,0.28370538461538464,0.09507216117216116,-0.18863322344322345,0.016922767207146958,273,138,0.8461538461538461,0.11355311355311355
t50,coco_better/siglip2_l,app,app_xcal,shipped rule vs plain x-cal (SVM head),fpr,0.04885354945054944,0.22294112087912085,0.17408757142857145,0.009172219892885457,273,138,0.05128205128205128,0.003663003663003663
