scope,arm,cost,oracle_cost,regret,average_precision,auroc,f1,fnr,fpr,n_good,n_cells,window
coco_better/siglip,gp_dot_anch,0.4600148473895582,0.3013618514056225,0.1586530080321285,0.41826548192771085,0.8674282208835342,0.03604420883534136,0.12323923293172691,0.3367756586345382,3.6867469879518073,249,t25
coco_better/siglip,gp_rbf_anch,0.4641521767068273,0.3025248634538153,0.16162735742971887,0.43694070682730923,0.8646349558232932,0.03923862248995984,0.12800798393574297,0.3361442248995984,5.598393574297189,249,t25
coco_better/siglip,gp_rbf_anch_maxvar,0.48053893172690765,0.30337736947791166,0.17716155421686747,0.4396613815261044,0.8646178112449799,0.03246248995983936,0.12858802008032127,0.3519508674698795,4.738955823293173,249,t25
coco_better/siglip,gp_rbf_gmm,0.487209546184739,0.30894932530120484,0.17826020481927712,0.40168503212851403,0.8650512088353414,0.02888570682730924,0.13154198795180722,0.35566754618473895,3.3092369477911645,249,t25
coco_better/siglip,gp_rbf_xcal,0.7749004497991968,0.3226923293172691,0.45220812851405623,0.4381779357429719,0.8514381606425703,0.09180807630522088,0.13009212851405624,0.6448083092369478,4.309236947791165,249,t25
coco_better/siglip2_l,app,0.3541672584269663,0.23360464419475654,0.12056261423220975,0.47606583146067416,0.9096222509363296,0.042896794007490635,0.10046733707865169,0.2536999063670412,3.7827715355805243,267,t25
coco_better/siglip2_l,app_gmm,0.3935516029962547,0.23674013483146067,0.15681146441947566,0.4443430374531835,0.9099527153558052,0.03004482397003745,0.09032459925093633,0.30322702996254686,2.8614232209737827,267,t25
coco_better/siglip2_l,app_xcal,0.39375632209737826,0.23323914981273408,0.16051720599250938,0.5237367940074906,0.9092334307116104,0.42911453183520604,0.3356840898876404,0.05807220599250936,5.093632958801498,267,t25
coco_better/siglip2_l,gp_dot_anch,0.42143006367041197,0.26239294756554304,0.15903715730337079,0.45752568164794005,0.8890710823970037,0.039969898876404494,0.1091882883895131,0.3122417715355805,4.059925093632959,267,t25
coco_better/siglip2_l,gp_rbf_anch,0.4348351872659176,0.26592138576779023,0.1689138127340824,0.4731330749063671,0.8858910149812734,0.04506646816479401,0.10904099625468164,0.3257942509363296,6.659176029962547,267,t25
coco_better/siglip2_l,gp_rbf_anch_maxvar,0.4159838501872659,0.2672747003745318,0.14870917602996256,0.47339257677902624,0.8865926217228464,0.049083052434456924,0.11500780149812734,0.30097610486891385,4.921348314606742,267,t25
coco_better/siglip2_l,gp_rbf_gmm,0.447699138576779,0.2615739625468165,0.18612519101123595,0.4439191198501872,0.8905137752808989,0.03807816104868914,0.11353625468164794,0.3341628838951311,3.554307116104869,267,t25
coco_better/siglip2_l,gp_rbf_xcal,0.7383363970037453,0.2715671198501873,0.46676926217228465,0.4860428951310861,0.8833494943820224,0.10596701123595506,0.08678631086142323,0.6515500711610487,4.696629213483146,267,t25
