class_id,readout,arm,v,found,ap,p10,left,n_positive
spods/stamp_00737_1,shared,a1_max,20,20,0.8327903091060986,0.7,9,29
spods/stamp_00737_1,shared,a1p_goods_only,0,0,0.9708756364523308,1.0,29,29
spods/stamp_00737_1,shared,a1p_goods_only,3,3,0.9456879327568981,1.0,26,29
spods/stamp_00737_1,shared,a1p_goods_only,5,5,0.9703521184507004,1.0,24,29
spods/stamp_00737_1,shared,a1p_goods_only,10,10,0.9524882987868947,1.0,19,29
spods/stamp_00737_1,shared,a1p_goods_only,20,20,0.8327903091060986,0.7,9,29
spods/stamp_00769_1,shared,a0_exemplar,0,0,0.8001805085090261,1.0,31,31
spods/stamp_00769_1,shared,a0_exemplar,3,3,0.7636523328918029,1.0,28,31
spods/stamp_00769_1,shared,a0_exemplar,5,5,0.7325825634701867,0.9,26,31
spods/stamp_00769_1,shared,a0_exemplar,10,10,0.6133399781847162,0.8,21,31
spods/stamp_00769_1,shared,a0_exemplar,20,18,0.3359088852463804,0.4,13,31
spods/stamp_00769_1,shared,a1_max,0,0,0.8001805085090261,1.0,31,31
spods/stamp_00769_1,shared,a1_max,3,3,0.8858153009389461,1.0,28,31
spods/stamp_00769_1,shared,a1_max,5,5,0.8807169432559709,1.0,26,31
spods/stamp_00769_1,shared,a1_max,10,10,0.8655487488301048,1.0,21,31
spods/stamp_00769_1,shared,a1_max,20,18,0.8077034077034078,0.9,13,31
spods/stamp_00769_1,shared,a1p_goods_only,0,0,0.8001805085090261,1.0,31,31
spods/stamp_00769_1,shared,a1p_goods_only,3,3,0.8821838394448687,1.0,28,31
spods/stamp_00769_1,shared,a1p_goods_only,5,5,0.8817036009197347,1.0,26,31
spods/stamp_00769_1,shared,a1p_goods_only,10,10,0.8667525694989067,1.0,21,31
spods/stamp_00769_1,shared,a1p_goods_only,20,18,0.8085282239128393,0.9,13,31
spods/stamp_00931_1,shared,a0_exemplar,0,0,0.6916585376768095,0.8,31,31
spods/stamp_00931_1,shared,a0_exemplar,3,2,0.6976968033584041,0.8,29,31
spods/stamp_00931_1,shared,a0_exemplar,5,4,0.6319797483928672,0.7,27,31
spods/stamp_00931_1,shared,a0_exemplar,10,8,0.5973961187583425,0.6,23,31
spods/stamp_00931_1,shared,a0_exemplar,20,14,0.5767623776655061,0.6,17,31
spods/stamp_00931_1,shared,a1_max,0,0,0.6916585376768095,0.8,31,31
spods/stamp_00931_1,shared,a1_max,3,2,0.9325342299286427,1.0,29,31
spods/stamp_00931_1,shared,a1_max,5,4,0.9098481374274329,1.0,27,31
spods/stamp_00931_1,shared,a1_max,10,8,0.9521908526256354,1.0,23,31
spods/stamp_00931_1,shared,a1_max,20,14,0.9214092243504008,1.0,17,31
spods/stamp_00931_1,shared,a1p_goods_only,0,0,0.6916585376768095,0.8,31,31
spods/stamp_00931_1,shared,a1p_goods_only,3,2,0.9325342299286427,1.0,29,31
spods/stamp_00931_1,shared,a1p_goods_only,5,4,0.9098481374274329,1.0,27,31
spods/stamp_00931_1,shared,a1p_goods_only,10,8,0.9521908526256354,1.0,23,31
spods/stamp_00931_1,shared,a1p_goods_only,20,14,0.9214092243504008,1.0,17,31
spods/stamp_00996_1,shared,a0_exemplar,0,0,1.0,1.0,63,63
spods/stamp_00996_1,shared,a0_exemplar,3,3,1.0,1.0,60,63
spods/stamp_00996_1,shared,a0_exemplar,5,5,1.0,1.0,58,63
spods/stamp_00996_1,shared,a0_exemplar,10,10,1.0,1.0,53,63
spods/stamp_00996_1,shared,a0_exemplar,20,20,1.0,1.0,43,63
spods/stamp_00996_1,shared,a1_max,0,0,1.0,1.0,63,63
spods/stamp_00996_1,shared,a1_max,3,3,1.0,1.0,60,63
spods/stamp_00996_1,shared,a1_max,5,5,1.0,1.0,58,63
spods/stamp_00996_1,shared,a1_max,10,10,1.0,1.0,53,63
spods/stamp_00996_1,shared,a1_max,20,20,1.0,1.0,43,63
spods/stamp_00996_1,shared,a1p_goods_only,0,0,1.0,1.0,63,63
spods/stamp_00996_1,shared,a1p_goods_only,3,3,1.0,1.0,60,63
spods/stamp_00996_1,shared,a1p_goods_only,5,5,1.0,1.0,58,63
spods/stamp_00996_1,shared,a1p_goods_only,10,10,1.0,1.0,53,63
spods/stamp_00996_1,shared,a1p_goods_only,20,20,1.0,1.0,43,63
staver/stamp_stampds-00213_1,shared,a0_exemplar,0,0,0.1131857625392806,0.0,19,19
staver/stamp_stampds-00213_1,shared,a0_exemplar,3,0,0.11919566688285961,0.0,19,19
staver/stamp_stampds-00213_1,shared,a0_exemplar,5,0,0.12369130619702731,0.0,19,19
staver/stamp_stampds-00213_1,shared,a0_exemplar,10,0,0.13737017922245967,0.1,19,19
staver/stamp_stampds-00213_1,shared,a0_exemplar,20,1,0.1514659163213432,0.1,18,19
staver/stamp_stampds-00213_1,shared,a1_max,0,0,0.1131857625392806,0.0,19,19
staver/stamp_stampds-00213_1,shared,a1_max,3,0,0.11919566688285961,0.0,19,19
staver/stamp_stampds-00213_1,shared,a1_max,5,0,0.12369130619702731,0.0,19,19
staver/stamp_stampds-00213_1,shared,a1_max,10,0,0.13737017922245967,0.1,19,19
staver/stamp_stampds-00213_1,shared,a1_max,20,1,0.04060607942472611,0.0,18,19
staver/stamp_stampds-00213_1,shared,a1p_goods_only,0,0,0.1131857625392806,0.0,19,19
staver/stamp_stampds-00213_1,shared,a1p_goods_only,3,0,0.11919566688285961,0.0,19,19
staver/stamp_stampds-00213_1,shared,a1p_goods_only,5,0,0.12369130619702731,0.0,19,19
staver/stamp_stampds-00213_1,shared,a1p_goods_only,10,0,0.13737017922245967,0.1,19,19
staver/stamp_stampds-00213_1,shared,a1p_goods_only,20,1,0.03970003535840873,0.0,18,19
staver/stamp_stampds-00230_0,shared,a0_exemplar,0,0,1.0,0.7,7,7
staver/stamp_stampds-00230_0,shared,a0_exemplar,3,3,1.0,0.4,4,7
staver/stamp_stampds-00230_0,shared,a0_exemplar,5,5,1.0,0.2,2,7
staver/stamp_stampds-00230_0,shared,a0_exemplar,10,7,nan,0.0,0,7
staver/stamp_stampds-00230_0,shared,a0_exemplar,20,7,nan,0.0,0,7
staver/stamp_stampds-00230_0,shared,a1_max,0,0,1.0,0.7,7,7
staver/stamp_stampds-00230_0,shared,a1_max,3,3,1.0,0.4,4,7
staver/stamp_stampds-00230_0,shared,a1_max,5,5,1.0,0.2,2,7
staver/stamp_stampds-00230_0,shared,a1_max,10,7,nan,0.0,0,7
staver/stamp_stampds-00230_0,shared,a1_max,20,7,nan,0.0,0,7
staver/stamp_stampds-00230_0,shared,a1p_goods_only,0,0,1.0,0.7,7,7
staver/stamp_stampds-00230_0,shared,a1p_goods_only,3,3,1.0,0.4,4,7
staver/stamp_stampds-00230_0,shared,a1p_goods_only,5,5,1.0,0.2,2,7
staver/stamp_stampds-00230_0,shared,a1p_goods_only,10,7,nan,0.0,0,7
staver/stamp_stampds-00230_0,shared,a1p_goods_only,20,7,nan,0.0,0,7
tobacco800/logo_aah97e00-page02_1_0,shared,a0_exemplar,0,0,0.9673013358335387,1.0,354,354
tobacco800/logo_aah97e00-page02_1_0,shared,a0_exemplar,3,3,0.9669739090159771,1.0,351,354
tobacco800/logo_aah97e00-page02_1_0,shared,a0_exemplar,5,5,0.9667522242177872,1.0,349,354
tobacco800/logo_aah97e00-page02_1_0,shared,a0_exemplar,10,10,0.9661857433331583,1.0,344,354
tobacco800/logo_aah97e00-page02_1_0,shared,a0_exemplar,20,20,0.9649973504123583,1.0,334,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1_max,0,0,0.9673013358335387,1.0,354,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1_max,3,3,0.9886393080387919,1.0,351,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1_max,5,5,0.9949592710439922,1.0,349,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1_max,10,10,0.9967013405859775,1.0,344,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1_max,20,20,0.9935913067360719,1.0,334,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1p_goods_only,0,0,0.9673013358335387,1.0,354,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1p_goods_only,3,3,0.9953744503390196,1.0,351,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1p_goods_only,5,5,0.9989078709468489,1.0,349,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1p_goods_only,10,10,0.9976076346321183,1.0,344,354
tobacco800/logo_aah97e00-page02_1_0,shared,a1p_goods_only,20,20,0.9916832152470935,1.0,334,354
tobacco800/logo_aeq93a00_1,shared,a0_exemplar,0,0,0.6956408863949087,0.9,116,116
tobacco800/logo_aeq93a00_1,shared,a0_exemplar,3,2,0.7237813252875472,1.0,114,116
tobacco800/logo_aeq93a00_1,shared,a0_exemplar,5,4,0.7175598343252744,1.0,112,116
tobacco800/logo_aeq93a00_1,shared,a0_exemplar,10,9,0.7008225264185823,1.0,107,116
tobacco800/logo_aeq93a00_1,shared,a0_exemplar,20,19,0.6612248707421409,1.0,97,116
